term1,term2,value
salinidade, bovino,1
salinidade, cloreto,1
salinidade, concentração,1
salinidade, grande,2
salinidade, humano,2
salinidade, parte,1
salinidade, salobrar,2
salinidade, semiáridar,1
salinidade, subterrâneo,1
salinidade, água,6
fitoterápico, carrapaticidar,1
fitoterápico, homeopater,1
fitoterápico, homeopático,1
distúrbio, abomaso,2
distúrbio, acetonemia,1
distúrbio, acidose,1
distúrbio, alta,1
distúrbio, animais,1
distúrbio, aproveitamento,1
distúrbio, bactéria,1
distúrbio, bezerro,1
distúrbio, cetose,1
distúrbio, cetônico,1
distúrbio, concentrado,1
distúrbio, corpo,1
distúrbio, deslocamento,2
distúrbio, digestivo,1
distúrbio, doença,2
distúrbio, fase,1
distúrbio, fibra,1
distúrbio, forragem,1
distúrbio, fungo,1
distúrbio, fêmeo,1
distúrbio, gordo,1
distúrbio, gordura,1
distúrbio, grande,1
distúrbio, gênerar,1
distúrbio, humano,1
distúrbio, infectocontagiosa,1
distúrbio, lactação,2
distúrbio, limpo,1
distúrbio, lote,1
distúrbio, macho,1
distúrbio, magro,1
distúrbio, metabólico,4
distúrbio, médio,1
distúrbio, natural,1
distúrbio, obeso,1
distúrbio, parte,1
distúrbio, partícula,1
distúrbio, pequeno,1
distúrbio, planta,1
distúrbio, recurso,2
distúrbio, reprodutivo,1
distúrbio, teor,1
distúrbio, teto,1
distúrbio, tomada,1
distúrbio, toxina,1
distúrbio, vaca,6
genotipar, análise,1
genotipar, ferrar,1
genotipar, genômica,1
genotipar, grande,1
genotipar, identificar,1
genotipar, molécular,1
paratifo, agente,1
paratifo, bactéria,1
paratifo, bezerro,1
paratifo, bovil,1
paratifo, bovina,1
paratifo, bovino,1
paratifo, cavalo,1
paratifo, demorar,1
paratifo, doença,2
paratifo, erliquiose,1
paratifo, genético,1
paratifo, gênerar,1
paratifo, infeccioso,1
paratifo, magra,1
paratifo, medida,1
paratifo, novilho,1
paratifo, rebanhar,1
paratifo, tratamento,1
paratifo, vaca,1
paratifo, útil,1
bezerreiro, abrigo,1
bezerreiro, acesso,1
bezerreiro, alvenaria,2
bezerreiro, animais,1
bezerreiro, animal,2
bezerreiro, baia,2
bezerreiro, bezerro,1
bezerreiro, bom,1
bezerreiro, casa,1
bezerreiro, cobertura,1
bezerreiro, efeito,1
bezerreiro, funcionar,1
bezerreiro, garantir,1
bezerreiro, instalação,1
bezerreiro, lado,2
bezerreiro, limpo,1
bezerreiro, lote,1
bezerreiro, madeira,2
bezerreiro, modo,1
bezerreiro, orientar,1
bezerreiro, pelar,2
bezerreiro, piquete,1
bezerreiro, raio,1
bezerreiro, seco,1
bezerreiro, sol,1
bezerreiro, sombrear,1
bezerreiro, ventilar,1
bezerreiro, vento,1
bezerreiro, úmido,1
pico, alimento,2
pico, alto,1
pico, animais,1
pico, animal,1
pico, bom,2
pico, capim,1
pico, cocho,2
pico, comercial,1
pico, compactação,1
pico, concentrar,1
pico, digestivo,1
pico, enxofre,1
pico, fermentar,1
pico, forrageira,4
pico, forragem,1
pico, inverno,1
pico, mineral,1
pico, mão,1
pico, obra,1
pico, oferecer,1
pico, ordenha,1
pico, partícula,2
pico, pastagem,1
pico, pastejo,1
pico, pequeno,4
pico, picar,12
pico, planta,1
pico, principal,1
pico, recomendação,1
pico, sativa,1
pico, seco,1
pico, silagem,2
pico, silo,3
pico, strigosa,1
pico, teor,1
pico, vaca,1
pico, volumoso,2
pico, água,3
prurir, barbela,1
prurir, cauda,1
prurir, descamação,1
prurir, diarreia,1
prurir, edema,1
prurir, excitabilidade,1
prurir, flanco,1
prurir, orelha,1
prurir, parte,1
prurir, pele,1
conservante, alimento,1
conservante, alto,1
conservante, antibiótico,1
conservante, bactéria,1
conservante, bom,1
conservante, bronopol,1
conservante, compactação,2
conservante, comprimido,1
conservante, concentrar,1
conservante, célula,1
conservante, droga,1
conservante, forrageira,1
conservante, forragem,1
conservante, frasco,1
conservante, grande,1
conservante, lateral,1
conservante, líquido,1
conservante, material,1
conservante, modo,1
conservante, nitrogênio,2
conservante, odor,1
conservante, parede,1
conservante, parâmetro,1
conservante, pastejo,1
conservante, patogênico,1
conservante, pequeno,1
conservante, perda,1
conservante, pesticidar,1
conservante, picar,1
conservante, químico,1
conservante, resíduo,1
conservante, sabor,1
conservante, sativa,1
conservante, silagem,4
conservante, silo,3
conservante, somático,1
conservante, vaca,1
conservante, volumoso,1
interação, animal,1
interação, aptidão,1
interação, bom,1
interação, fator,1
interação, genótipo,1
interação, vaca,1
cigarrinhar, alto,2
cigarrinhar, baixo,1
cigarrinhar, cigarra,1
cigarrinhar, efeito,2
cigarrinhar, inimigo,1
cigarrinhar, natural,1
cigarrinhar, pastagem,2
cigarrinhar, pasto,2
muco, acasalar,1
muco, alimento,1
muco, animal,1
muco, auxiliar,1
muco, bezerro,1
muco, boca,1
muco, corrimento,1
muco, cristalino,2
muco, fetal,1
muco, grande,1
muco, limpo,1
muco, membrana,1
muco, monta,1
muco, nariz,1
muco, rebanhar,1
muco, vaca,2
reprodutor, acrobustite,1
reprodutor, alto,1
reprodutor, aproveitamento,1
reprodutor, barato,1
reprodutor, bom,4
reprodutor, cobrir,1
reprodutor, criptorquidia,1
reprodutor, cuidado,1
reprodutor, descendente,1
reprodutor, doença,1
reprodutor, eletroejaculação,1
reprodutor, espermatozoide,1
reprodutor, espermograma,1
reprodutor, exame,1
reprodutor, filho,1
reprodutor, fácil,1
reprodutor, físico,2
reprodutor, genético,3
reprodutor, gir,1
reprodutor, grande,2
reprodutor, guzerá,1
reprodutor, holandês,1
reprodutor, indesejável,1
reprodutor, leiteiro,1
reprodutor, lesão,1
reprodutor, libido,4
reprodutor, monta,3
reprodutor, método,2
reprodutor, natural,1
reprodutor, objetivo,1
reprodutor, orientar,1
reprodutor, penduloso,1
reprodutor, pequeno,1
reprodutor, portador,1
reprodutor, prepucial,1
reprodutor, principal,1
reprodutor, raça,2
reprodutor, rebanhar,1
reprodutor, rebanho,1
reprodutor, sadio,1
reprodutor, sanitário,1
reprodutor, testicular,1
reprodutor, tratamento,1
reprodutor, tuberculose,1
reprodutor, umbigueira,1
reprodutor, vaca,3
reprodutor, velho,1
reprodutor, zebu,1
reprodutor, zebuína,1
biberão, balde,1
biberão, mamadeira,1
biberão, mão,1
biberão, obra,1
escorregar, animal,1
escorregar, casco,1
escorregar, dilatação,1
escorregar, espessura,1
escorregar, junta,1
escorregar, semiáspero,1
junto, agente,1
junto, animais,1
junto, animal,1
junto, fêmeo,1
junto, hormônio,1
junto, leguminoso,1
junto, morfológico,1
junto, orientar,1
junto, plantar,1
junto, procurar,1
junto, reprodutivo,1
junto, vaca,1
obstétrico, bezerro,1
obstétrico, cesariana,1
obstétrico, manipulação,1
obstétrico, médico,1
obstétrico, presença,1
obstétrico, útero,1
cova, forragear,1
cova, plantio,4
cova, preparar,1
cova, sulco,2
junta, agente,1
junta, animais,1
junta, animal,2
junta, casco,1
junta, dilatação,1
junta, escorregar,1
junta, espessura,1
junta, fêmeo,1
junta, hormônio,1
junta, junto,2
junta, leguminoso,1
junta, morfológico,1
junta, orientar,1
junta, plantar,1
junta, procurar,1
junta, reprodutivo,1
junta, semiáspero,1
junta, vaca,1
agrotóxico, amônio,1
agrotóxico, cloreto,1
agrotóxico, pasto,1
agrotóxico, queimar,1
agrotóxico, superfosfato,1
descorna, adulto,1
descorna, animais,1
descorna, animal,1
descorna, bezerro,2
descorna, cuidado,1
descorna, descornar,2
descorna, fácil,1
descorna, grande,1
