,term1,term2,value
0,animais, animal,417
1,sede, animal,254
2,sede, vaca,245
3,máximo, grande,210
4,bezerra, bezerro,174
5,sede, bom,166
6,sede, grande,135
7,sede, pastagem,133
9,minerais, mineral,113
10,espécies, espécie,106
12,sede, solo,102
13,sede, bezerro,95
14,sede, pequeno,89
15,seca, seco,79
16,sede, lactação,77
17,sede, sistema,77
18,sede, forrageira,76
19,sede, animais,75
20,bovina, bovino,72
22,sede, espécie,66
23,sede, raça,64
25,concentração, concentrar,63
26,alta, alto,60
27,sede, mineral,60
28,sede, genético,57
29,sede, água,56
31,sede, parto,55
32,sede, rebanho,55
33,sede, doença,54
34,máximo, animal,52
36,sede, principal,51
37,sementes, semente,48
39,fatores, fator,48
41,sede, planta,47
43,sede, ordenha,46
44,sede, seco,46
45,sede, alto,45
47,instalações, instalação,44
48,sede, pastejo,44
51,sede, plantio,43
52,sede, proteína,43
56,sede, tratamento,40
58,novilha, novilho,39
60,sede, leiteiro,39
64,sede, forragem,38
65,nutrientes, nutriente,37
67,sede, baixo,37
68,sede, orgânico,37
69,sede, pasto,37
72,sede, bovino,36
73,sede, meio,36
74,cobre, cobrir,36
78,sede, alimento,34
88,zebuínas, raça,32
93,sede, gramínea,32
94,sede, temperatura,32
95,máximo, bom,32
96,leguminosa, leguminoso,31
97,pele, pelar,31
99,pelagem, pelar,31
102,peletizado, pelar,31
104,peladeira, pelar,31
105,sede, dieta,31
106,sede, natural,31
108,bezerra, vaca,31
111,espécies, forrageira,30
115,sede, medida,30
116,mamária, mamário,29
120,sede, brachiaria,29
121,sede, rebanhar,29
126,sede, corporal,28
127,sede, fator,28
128,sede, material,28
130,espécies, pastagem,27
133,sede, cultura,27
134,sede, instalação,27
135,sede, parte,27
140,decumbens, brachiaria,26
142,sede, bactéria,26
143,sede, cruzamento,26
144,sede, semente,26
146,líquida, líquido,25
149,sede, agente,25
150,sede, base,25
151,sede, cobrir,25
152,sede, concentrado,25
153,sede, nutriente,25
154,sede, teto,25
156,espécies, animal,24
162,zebuínas, zebuína,24
164,sede, elevar,24
165,sede, identificar,24
166,sede, modo,24
167,sede, técnico,24
168,máximo, vaca,24
169,brizantha, brachiaria,23
174,sede, fase,23
175,sede, fósforo,23
176,sede, resíduo,23
177,sede, silagem,23
178,sede, teor,23
179,sede, volumoso,23
180,térmica, térmico,22
184,perda, perder,22
186,capineira, capineiro,22
187,sede, concentrar,22
188,sede, garantir,22
189,sede, piquete,22
190,concentração, volumoso,21
201,sede, holandês,21
202,sede, método,21
203,sede, novilho,21
204,sede, perda,21
205,sede, presença,21
206,sede, puro,21
215,sede, chuva,20
216,sede, cuidado,20
217,sede, silo,20
218,sede, taxa,20
219,sede, tropical,20
