,Unnamed: 0,term1,term2,value
1,1,sede, animal,254
2,2,sede, vaca,245
3,3,máximo, grande,210
5,5,sede, bom,166
6,6,sede, grande,135
7,7,sede, pastagem,133
10,12,sede, solo,102
11,13,sede, bezerro,95
12,14,sede, pequeno,89
14,16,sede, lactação,77
15,17,sede, sistema,77
16,18,sede, forrageira,76
17,19,sede, animais,75
19,22,sede, espécie,66
20,23,sede, raça,64
23,27,sede, mineral,60
24,28,sede, genético,57
25,29,sede, água,56
26,31,sede, parto,55
27,32,sede, rebanho,55
28,33,sede, doença,54
29,34,máximo, animal,52
30,36,sede, principal,51
33,41,sede, planta,47
34,43,sede, ordenha,46
35,44,sede, seco,46
36,45,sede, alto,45
38,48,sede, pastejo,44
39,51,sede, plantio,43
40,52,sede, proteína,43
41,56,sede, tratamento,40
43,60,sede, leiteiro,39
44,64,sede, forragem,38
46,67,sede, baixo,37
47,68,sede, orgânico,37
48,69,sede, pasto,37
49,72,sede, bovino,36
50,73,sede, meio,36
52,78,sede, alimento,34
53,88,zebuínas, raça,32
54,93,sede, gramínea,32
55,94,sede, temperatura,32
56,95,máximo, bom,32
60,102,peletizado, pelar,31
61,104,peladeira, pelar,31
62,105,sede, dieta,31
63,106,sede, natural,31
64,108,bezerra, vaca,31
65,111,espécies, forrageira,30
66,115,sede, medida,30
67,116,mamária, mamário,29
68,120,sede, brachiaria,29
69,121,sede, rebanhar,29
70,126,sede, corporal,28
71,127,sede, fator,28
72,128,sede, material,28
73,130,espécies, pastagem,27
74,133,sede, cultura,27
75,134,sede, instalação,27
76,135,sede, parte,27
77,140,decumbens, brachiaria,26
78,142,sede, bactéria,26
79,143,sede, cruzamento,26
80,144,sede, semente,26
82,149,sede, agente,25
83,150,sede, base,25
84,151,sede, cobrir,25
85,152,sede, concentrado,25
86,153,sede, nutriente,25
87,154,sede, teto,25
88,156,espécies, animal,24
90,164,sede, elevar,24
91,165,sede, identificar,24
92,166,sede, modo,24
93,167,sede, técnico,24
94,168,máximo, vaca,24
95,169,brizantha, brachiaria,23
96,174,sede, fase,23
97,175,sede, fósforo,23
98,176,sede, resíduo,23
99,177,sede, silagem,23
100,178,sede, teor,23
101,179,sede, volumoso,23
105,187,sede, concentrar,22
106,188,sede, garantir,22
107,189,sede, piquete,22
108,190,concentração, volumoso,21
109,201,sede, holandês,21
110,202,sede, método,21
111,203,sede, novilho,21
112,204,sede, perda,21
113,205,sede, presença,21
114,206,sede, puro,21
115,215,sede, chuva,20
116,216,sede, cuidado,20
117,217,sede, silo,20
118,218,sede, taxa,20
119,219,sede, tropical,20
120,220,máximo, pequeno,20
121,221,leguminosa, gramínea,19
122,228,espécies, solo,19
123,240,animais, pequeno,19
124,244,sede, artificial,19
125,245,sede, embrião,19
126,246,sede, gordura,19
127,247,sede, médio,19
128,248,sede, pelar,19
129,251,bezerra, bom,19
130,252,minerais, vaca,18
133,268,novilha, vaca,18
134,275,animais, cruzamento,18
135,278,sede, cobertura,18
136,279,sede, fêmea,18
137,280,sede, leguminoso,18
138,281,sede, mestiço,18
139,282,sede, sintoma,18
140,283,cobre, vaca,18
141,293,espécies, bom,17
142,300,animais, lactação,17
143,302,animais, pasto,17
144,304,sede, antibiótico,17
145,305,sede, capim,17
146,306,sede, esterco,17
147,307,sede, maneira,17
148,308,sede, nitrogênio,17
149,309,sede, objetivo,17
150,310,sede, reprodutivo,17
151,311,máximo, forragem,17
152,312,máximo, pastagem,17
153,314,mamário, bezerro,16
154,315,mamária, bezerro,16
155,325,inseminador, vaca,16
156,336,animais, leiteiro,16
157,337,mamadeira, bezerro,16
158,340,sede, adulto,16
159,341,sede, concentração,16
160,342,sede, gene,16
161,343,sede, gestação,16
162,344,sede, infecção,16
163,345,sede, mão,16
164,346,sede, suficiente,16
166,350,minerais, dieta,15
168,371,parte, vaca,15
169,372,instalações, animal,15
170,374,animais, água,15
171,377,entressafra, entrar,15
172,379,sede, acasalamento,15
173,380,sede, alta,15
174,381,sede, eficiente,15
175,382,sede, mamário,15
176,383,sede, obra,15
177,384,sede, recomendação,15
178,385,sede, zebuína,15
180,389,mamária, mamar,14
181,390,mamária, vaca,14
182,396,sementes, solo,14
183,397,concentração, mineral,14
187,425,animais, corporal,14
188,426,animais, forragem,14
189,427,animais, temperatura,14
190,428,mamadeira, mamar,14
191,435,seca, dieta,14
192,437,sede, braquiária,14
193,438,sede, cocho,14
194,439,sede, exame,14
195,440,sede, fosfato,14
196,441,sede, irrigação,14
197,442,sede, líquido,14
198,443,sede, medicamento,14
199,444,sede, médico,14
200,445,sede, população,14
201,446,sede, químico,14
202,447,sede, ração,14
203,448,sede, seca,14
204,450,bezerra, mamar,14
206,458,via, ver,13
209,474,animais, mineral,13
210,477,sede, associação,13
211,478,sede, clínico,13
212,479,sede, estresse,13
213,480,sede, filho,13
214,481,sede, heterose,13
215,482,sede, invasor,13
216,483,sede, organismo,13
217,484,sede, térmico,13
220,489,mamária, glândular,12
221,491,variação, animal,12
222,492,parteiro, vaca,12
223,497,concentração, bezerro,12
225,509,partícula, vaca,12
226,510,recomendação, vaca,12
227,525,líquida, esterco,12
228,526,fatores, animal,12
232,541,sede, análise,12
233,542,sede, célula,12
234,543,sede, fácil,12
235,544,sede, físico,12
236,545,sede, macho,12
237,546,sede, plantar,12
238,547,sede, procedimento,12
239,548,sede, recurso,12
240,549,sede, tóxico,12
241,550,sede, vacar,12
242,552,máximo, genético,12
243,553,máximo, raça,12
244,555,bezerra, concentrar,12
245,561,mamária, ordenha,11
246,562,mamária, quarto,11
247,563,leguminosa, pastagem,11
249,565,minerais, animal,11
250,572,sementes, pastagem,11
251,574,concentração, dieta,11
252,575,trator, animal,11
253,576,bovina, animal,11
255,596,recomendação, pastagem,11
256,597,espécies, forragem,11
257,598,espécies, planta,11
258,608,novilha, bom,11
259,626,zebuínas, vaca,11
260,627,animais, adulto,11
261,628,animais, alto,11
262,629,animais, bezerro,11
263,630,animais, bovino,11
264,637,desmama, bezerro,11
265,638,desmame, bezerro,11
266,644,sede, descartar,11
267,645,sede, efeito,11
268,646,sede, gir,11
269,647,sede, hormônio,11
270,648,sede, humano,11
271,649,sede, limpo,11
272,650,sede, nutricional,11
273,651,sede, rotativo,11
274,652,sede, subclínica,11
275,654,máximo, pasto,11
276,657,demora, demorar,11
277,658,demora, vaca,11
278,659,minerais, bom,10
279,660,minerais, proteína,10
280,661,minerais, vitamina,10
281,669,concentrado, ração,10
282,676,sementes, plantio,10
286,734,animais, afetar,10
287,735,animais, elevar,10
288,736,animais, principal,10
289,738,animais, seco,10
290,740,animais, tratamento,10
291,748,seca, base,10
292,749,seca, limpo,10
293,750,seca, volumoso,10
294,754,sede, consumir,10
295,755,sede, energético,10
296,756,sede, febre,10
297,757,sede, magnésio,10
298,758,sede, microbiano,10
299,759,sede, monta,10
300,760,sede, oferecer,10
301,761,sede, reprodutor,10
302,762,sede, resistente,10
303,763,sede, risco,10
304,764,sede, tomar,10
305,766,máximo, forrageira,10
306,767,máximo, lactação,10
307,774,bezerra, doença,10
308,775,bezerra, ordenha,10
309,776,minerais, bovino,9
310,777,minerais, concentrar,9
311,780,crioscopia, animal,9
312,781,crioscopia, bezerro,9
313,782,térmica, estresse,9
314,787,concentrado, alimento,9
315,797,monta, vaca,9
316,800,concentração, ração,9
317,805,bovina, mineral,9
318,810,ordenhador, teto,9
319,819,criopreservação, animal,9
320,820,criopreservação, bezerro,9
321,835,recomendação, espécie,9
322,839,espécies, gramínea,9
323,849,nutrientes, vaca,9
324,851,parasitária, bovino,9
325,852,parasitária, parasitário,9
326,866,alta, forragem,9
327,867,alta, pastagem,9
328,868,alta, proteína,9
329,884,instalações, sistema,9
330,885,zebuínas, holandês,9
331,890,animais, alta,9
332,892,animais, exigência,9
334,904,seca, parto,9
335,905,seca, proteína,9
336,906,crioscópico, animal,9
337,907,crioscópico, bezerro,9
338,911,sede, aproveitamento,9
339,912,sede, ar,9
340,913,sede, calcário,9
341,914,sede, diarreia,9
342,915,sede, enxofre,9
343,916,sede, fértil,9
344,917,sede, inverno,9
345,918,sede, lembrar,9
346,919,sede, mamar,9
347,920,sede, mosca,9
348,921,sede, máximo,9
349,922,sede, mãe,9
350,923,sede, picar,9
351,924,sede, praga,9
352,925,sede, quarto,9
353,926,sede, semeadura,9
354,927,sede, vitamina,9
355,929,máximo, pastejo,9
356,930,máximo, rebanho,9
357,936,bezerra, pequeno,9
358,937,bezerra, principal,9
359,940,obesa, vaca,8
360,941,mamária, lactação,8
361,942,minerais, fósforo,8
363,953,concentrado, água,8
364,954,ácido, ácer,8
365,956,colhedeira, colher,8
366,959,sementes, germinação,8
367,961,fêmea, vaca,8
368,963,concentração, alimento,8
369,964,concentração, bom,8
370,965,concentração, nutriente,8
371,967,concentração, proteína,8
373,991,colheita, colher,8
374,1014,inseminador, cobrir,8
375,1017,recomendação, seco,8
376,1020,espécies, forrageiro,8
377,1021,espécies, grande,8
378,1022,espécies, pastejo,8
380,1054,alta, forrageira,8
381,1055,alta, pequeno,8
382,1056,perda, corporal,8
385,1075,zebuínas, animal,8
386,1076,zebuínas, gir,8
387,1083,animais, brachiaria,8
388,1084,animais, filho,8
389,1086,animais, holandês,8
390,1087,animais, identificar,8
391,1089,animais, tóxico,8
392,1090,animais, zebuína,8
393,1091,aproveitamento, aproveitar,8
396,1102,seca, concentrar,8
397,1104,seca, pequeno,8
398,1105,seca, teor,8
399,1111,sede, afetar,8
400,1112,sede, aveia,8
401,1113,sede, calagem,8
402,1114,sede, capineiro,8
403,1115,sede, cerca,8
404,1116,sede, desinfecção,8
405,1117,sede, dose,8
406,1118,sede, ensilar,8
407,1119,sede, guzerá,8
408,1120,sede, infeccioso,8
409,1121,sede, interferir,8
410,1122,sede, manual,8
411,1123,sede, nutritivo,8
412,1124,sede, parasita,8
413,1125,sede, quente,8
414,1126,sede, sanitário,8
415,1127,sede, sexo,8
416,1128,sede, somático,8
417,1129,sede, superpastejo,8
418,1130,sede, vitro,8
419,1131,sede, zebu,8
420,1132,sede, ácidos,8
