source,target,weight,Direction,Type
sede, animal,254,Direct,Affects
sede, vaca,245,Direct,Affects
máximo, grande,210,Direct,EtymologicallyRelatedTo
sede, bezerro,95,Direct,Affects
sede, animais,75,Direct,Affects
sede, água,56,Direct,CausesDesire
sede, rebanho,55,Direct,Affects
sede, doença,54,Direct,Causes
sede, planta,47,Direct,Affects
sede, ordenha,46,Direct,Affects
sede, seco,46,Direct,EtymologicallyRelatedTo
sede, bovino,36,Direct,Affects
zebuínas, raça,32,Direct,IsA
sede, temperatura,32,Inverse,Causes
sede, dieta,31,Not,UsedFor
bezerra, vaca,31,Direct,IsA
decumbens, brachiaria,26,Inverse Compose,Composite
espécies, animal,24,Inverse,HasA
brizantha, brachiaria,23,Inverse Compose,Composite
concentração, volumoso,21,Direct,Affects
sede, novilho,21,Direct,Affects
leguminosa, gramínea,19,Inverse,IsA
espécies, solo,19,Inverse,HasProperty
minerais, vaca,18,Direct,Affects
novilha, vaca,18,,IsA
animais, cruzamento,18,Direct,CapableOf
cobre, vaca,18,Direct,Affects
animais, pasto,17,Direct,AtLocation
sede, antibiótico,17,Inverse,Causes
inseminador, vaca,16,Direct,UsedIn
mamadeira, bezerro,16,Direct,UsedBy
minerais, dieta,15,Direct,UsedIn
parte, vaca,15,Inverse,HasProperty
animais, água,15,Inverse,UsedBy
mamária, mamar,14,,UsedFor
mamária, vaca,14,Direct,HasA
sementes, solo,14,Direct,AtLocation
concentração, mineral,14,Direct,Measures
animais, forragem,14,Inverse,UsedBy
animais, temperatura,14,Direct,HasProperty
mamadeira, mamar,14,Direct,UsedFor
seca, dieta,14,Direct,Affects
sede, líquido,14,Direct,CausesDesire
sede, seca,14,Inverse,Causes
bezerra, mamar,14,Inverse,TypicalOf
animais, mineral,13,Inverse,Affects
sede, estresse,13,Direct,Causes
mamária, glândula,12,Direct,TypeOf
mamária, ordenha,11,Direct,UsedFor
mamária, quarto,11,Direct,HasA
leguminosa, pastagem,11,Direct,UsedFor
minerais, animal,11,Direct,Affects
sementes, pastagem,11,Inverse,HasPreqrequisite
bovina, animal,11,Direct,TypeOf
espécies, forragem,11,Inverse,HasProperty
espécies, planta,11,Inverse,HasProperty
zebuínas, vaca,11,Inverse,TypeOf
animais, adulto,11,Direct,HasProperty
animais, bezerro,11,Inverse,IsA
animais, bovino,11,Inverse,IsA
desmama, bezerro,11,Direct,Affects
minerais, vitamina,10,Direct,IsA
concentrado, ração,10,Direct,UsedIn
sementes, plantio,10,Direct,UsedFor
animais, tratamento,10,Inverse,UsedIn
bezerra, doença,10,Inverse,Affects
concentrado, alimento,9,Direct,UsedAs
monta, vaca,9,Inverse,UsedFor
concentração, ração,9,Direct,Measures
ordenhador, teto,9,Direct,UsedIn
espécies, gramínea,9,Inverse,HasProperty
nutrientes, vaca,9,Direct,Affects
parasitária, bovino,9,Direct,Affects
obesa, vaca,8,Direct,Affects
