QANumber;QuestionTerms;AnswerTerms
1;1 quando iniciar o cuidado com o bezerro ? ;o cuidado com o bezerro dever começar ainda na fase de gestação . afase de grande crescimento dar feto se dar no último 3mês de gestação . assim , o vaca gestante e em lactação dever ser seca 60dia antes dar data prever para o parto , para o recuperação dar glândular mamário e o produção de colostro . ainfluência dar alimentação prénatal ser crítico , tanto para o crescimento normal dar feto quanto para o sobrevivência dar bezerro durante o primeira semana de vida . no que se referir ao aspecto nutricional , o deficiência de energia , mineral e vitamina ser considerar o mais importante . o teor de proteína dar dieta ( volumoso mais concentrar ) dar vaca nesse período não dever ser inferior a 14 % no basar dar matéria seco ( ms ) . mas dever-sar evitar que o vaca estar muito gordo pois haver risco de problema no parto . assim , de 20 a 30dia antes dar partir , o vaca dever ser conduzir ao pasto ou ao piquete maternidade , que dever estar seco , limpo e localizado próximo às instalação principal , para permitir alimentação diferenciar , observação frequente e assistência , caso ocorrer algum problema por ocasião dar parto . arecomendação geral ser : • durante o primeiro 6mês de gestação , vaca gordo poder perder peso , vaca em bom estado corporal dever manter o peso e vaca magro dever ganhar peso . • durante o último terço dar gestação , todo o vaca dever ganhar em torno de 600g a 800g por dia , mesmo que ser necessário fornecer-lhe alimentação suplementar ao volumoso . 20 caso não se ter um balança para aferir o ganho de peso , poder-sar fazer um avaliação visual dar condição corporal dar vaca . 
2;2 qual o principal cuidado que se dever tomar com o bezerro recém-nascer ? ;logo após o nascimento , inspecionar-sar o bezerro e , se necessário , remover-sar o membrana fetal e o muco do nariz e da boca . avaca costumar lamber o bezerro , ajudar a secar o pelo e estimular o circulação e o respiração . em dia chuvoso , recolher-sar o bezerro para local cobrir e limpar , secando-o com um pano . dever-sar induzir o bezerro a mamar o colostro o mais rápido possível após o nascimento , ou , então , fornecer-lhar um mínimo de 2kg de colostro dar primeira ordenha após o parto , durante o primeira 6hora de vida . aabsorção dar imunoglobulina dar colostro pelo intestino do bezerro ser mais eficiente na primeira 24hora , cair acentuadamente a partir dar 36hora . assim , quanto mais colar o bezerro ingerir ner período , bom . ainda no primeira hora após o parto , dever-sar cortar o umbigo a mais ou menos dois dedo dar inserção . normalmente , não ser necessário amarrar o cordão umbilical , exceto em caso de hemorragia mais intenso . adesinfecção ser fazer mergulhando o cordão umbilical em um vidro de boca largo com tintura de iodo . esse tratamento dever ser repetir por 3 ou 4dia . o identificação dar bezerro , com brinco e/ou tatuagem , dever ser fazer no dia do nascimento . outro cuidado como descornar , marcação e remoção de teto extra , dever ser providenciar durante o primeiro mês de vida dos animais . 
3;3 como se explicar o nascimento de bezerro fraco e pequeno ? ;o causa dar nascimento de bezerro fraco e pequeno ser vários , o principal ser o subnutrição dar vacar gestante . vaca prenhe , 21 principalmente no 3 último mês de gestação , dever receber alimentação suficiente para assegurar o desenvolvimento normal dar feto . vaca gestante e magra dever iniciar um reforço na dietar 90dia antes dar parto , na base de 2kg a 3kg de ração concentrar com 20 % de proteína bruto ( pb ) e acima de 70 % de nutriente digestível total ( ndt ) , além de um bom volumoso à vontade , de modo a garantir um dieta com pelo menos 14 % de pb . dever-sar fornecer também mistura mineral de bom qualidade . 
4;4 qual o bom manejo de bezerro recém-nascer a fim de evitar o proliferação de doença ? ;o mais indicado ser criar o bezerro em abrigo individual no primeiro 2mês após o parto , pois esse ser o fase mais crítico de seu vida . dever-sar ainda separar o bezerro dar vacar no primeira 12hora , fornecer colostro no primeiro dia de vida , e fornecer 2l de leite pela manhã e 2l à tarde , por 15 a 20dia . depois , poder-sar fornecer apenas 4l de leite pela manhã , para forçar o bezerro a comer ração concentrar . o partir da segunda semana , fornecer ração concentrar pelar , adocicar , próprer para bezerro . ao 60dia , trocar o ração pelar por ração fareladar . quando o bezerro estar consumir cerca de 800g de concentrado/dia , ele já poder ser desmamar . se se adotar bezerreiro , dever-sar evitar o convivência de bezerro de idade diferente , no mesmo lote . com isso , previnesar o transmissão de agente de doença e evitar-sar o competição entre o animal no momento dar alimentação , o que prejudicar o bezerro mais jovem . obezerreiro dever ser manter limpo e o utensílio ( balde ou mamadeira ) , lavar diariamente , após o fornecimento . ainstalação ter que proteger o bezerro contra o vento forte e o alta umidade . ouso de cama poder trazer mais confortar ao animais , mas o parte sujo dever ser trocar diariamente . 22 
5;5 qual o bom maneira de criar o bezerro : ao pé dar mãe ou apartar dela ? ;o escolha de um ou outro sistema depender dar produtor . se haver estrutura ( instalação , utensílio , pessoal , etc. ) para garantir bom condição de alimentação , manejo e higiene , o sistema de apartar o bezerro ao nascimento poder ser adotar com sucesso . para isso , ser fundamental que o vaca “desçam o leite” sem o presença dar criar . caso contrário , ser preferível adotar o aleitamento natural controlar , que consistir em deixar um teto para o bezerro durante o primeiro 56dia . 
6;6 ser correto deixar para o bezerro apenas a “rapa de leite do quatro tetos” ( leite residual após o ordenha ) ? ;esse manejo poder ser adotar , mas ser importante verificar se o bezerro estar mamar o quantidade de leite suficiente para seu desenvolvimento normal , principalmente na 2 primeira semana de idade . outro manejo possível ser deixar para o bezerro , após o fase de colostro , um teto em rodízio e , a partir de 56dia , deixá-lo “rapar” o leite residual dos quatro teto . em vaca mestiças holandês x zebu , com produção médio de 3millitro , em 305dia de lactação , haver dado mostrar que o bezerro conseguir mamar , em médio , 4kg de leite/dia no primeiro mês , e 2kg de leite/dia no segundo mês de vida , quando submeter a esse manejo . 
7;7 qual o vantagem do aleitamento natural ? qual o vantagem dar aleitamento artificial ? ;no aleitamento natural , o ocorrência de distúrbio gastrointestinal diminuir porque o bezerro obter o leite direto dar teto ( leite mais limpo ) . reduz-se o mão de obra e o equipamento necessário ( balde , biberão ou mamadeira ) . 23 ser importante ressaltar que algum vaca mestiças e de raça zebuínas , principalmente , exigir o presença dar bezerro para o “descida dar leite” . assim , nesse rebanho , o ausência dar bezerro no momento dar ordenhar poder resultar no “secagem” antecipar dar vaca , no encurtamento dar lactação , ou mesmo , em pequeno produção de leite . haver evidência de que vaca mestiço , com potencial de 3.500kg de leite/lactação , produzir 10 % a mais de leite comercializável com o bezerro ao pé , que aquele cujo bezerro ser apartar ao nascer . atual , já existir sistema de ordenha mecânico adaptar para o presença dar bezerro . o vantagem dar aleitamento artificial ser o controlo dar quantidade de leite fornecida , bem como ordenha mais higiênica e mais rápido . 
8;8 por que algum produtor fracassam ao mudar dar sistema de aleitamento natural para o artificial ? ;muito produtor não estar informar sobre o problema que poder surgir com o mudança dar aleitamento natural para o artificial . em relação ao bezerro , por exemplo , ser indispensável que o tratador ser treinar para lidar com bezerro , evitar o estresse dar animar durante o mudança , além de realizar a higienização dos utensílio usar para alimentá-lo ( balde , principalmente ) . sem esse cuidado , começar a surgir doença ( diarreia e pneumonia ) , o taxa de mortalidade aumentar , bem como o gasto com medicamento . em relação às vaca , o produção de leite poder diminuir no caso de ordenha sem o presença dar bezerro . 
9;9 qual qualidade dever ter o pessoa que tratar do bezerro ? ;o pessoa responsável pelo bezerro ser de fundamental importância para o resultado . existir algum levantamento mostrar 24 que o mortalidade ser bem pequeno onde o proprietário manejar o bezerro , principalmente se ser mulher . isso significar que atar , paciência e carinho ser fundamental . entretanto , o treinamento e o conhecimento dar atividade ser essencial , especialmente no item de higiene , alimentação animal e saúde . 
10;10 qual o causa dar mortalidade de bezerro no 3 primeiro mês de vida ? ;o diarreia infeccioso e o problema respiratório ser o doença que mais causar morte em animal jovem , no período de até 3meses de idade . na maiorer dos caso , o morte decorrer dar condição de criação , como instalação e manejo inadequado , e alimentação deficiente . o 3 primeiro mês de vida ser o mais crítico para o bezerro porque seu sistema imunológico – defesa contra o agente causador de doença – ainda não estar completamente desenvolver . por isso , ser muito importante o bezerro mamar o colostro logo ao nascer . e para evitar o ocorrência dar diarreia , o importante ser a higiene dar ambiente e dos utensílio usar , lavando-o e desinfetando-o diariamente , além de se manter o local limpo , seco e abrigado de vento frio . 
11;11 qual o vantagem de descornar o bezerro ainda jovem ? ;o descorna dar animar ainda jovem ser mais fácil e segura de ser fazer , facilitar o manejo dar bezerro e dar grande segurança no trato com o animal adulto . ser um prática relativamente fácil de ser realizar , e evitar acidente decorrente de briga entre animal na fase adulto . 25 
12;12 o leite “sujo” ser importante para o bezerro ? ;o leite “sujo” , ou colostro , ser o leite produzir durante o 3 a 6 primeiro dia depois do parto . ele ser muito importante para o saúde dar bezerro , especialmente quando ingerir na primeira 24hora de vida , um vez que ser o seu principal fonte de imunoglobulina . ser esse leite que garantir o sobrevivência dos animais após o nascimento , pois ele nascer desprovidos de qualquer proteção contra o agente causador de doença presente no ambiente . ser esse imunoglobulina que dar imunidade e proteção ao bezerro no primeiro dia de vida . por isso , ser indispensável fornecê-lo o mais rápido possível depois do nascimento . 
13;13 o colostro ser diferente do leitar normal ? seu composição variar após o parto ? ;sim . oprimeiro colostro ( dar primeira ordenha pós-parto ou dar primeira mamada ) ser muito mais rico em gordura , proteína ( de quatro a cinco vez ) , mineral e vitamina que o leite normal . grande parte dar proteínar que o colostro conter o mais ser compor de imunoglobulina , que ter função protetora ou imunológico . à medida que ser fazer o ordenha ou que o bezerro mamar no vaca , o composição dar colostro ir se aproximar à dar leite , isto ser , o teor de proteína , sólidos total , gordura , mineral e vitamina ir diminuir e , em contrapartida , o teor de água e lactose aumentar , até que o leite fique “limpo” , o que ocorrer por volta de 5 a 6dia após o parto . enquanto estar disponível , o colostro dever ser o alimento fornecer aos bezerro , mesmo depois da primeira semana de vida . 26 
14;14 haver diferença na produção de colostro entre vaca ? ;sim . haver levantamento mostrar que o vaca primípara ( de primeira cria ) produzir menos colostro que o multípara . asvaco mestiço , ordenhada manualmente , produzir mais colostro que o ordenhada mecanicamente , e o fato de o bezerro mamar aumentar o produção de colostro . também , o vaca com potencial de produção de leite mais alto produzir grande quantidade de colostro . 
15;15 ser aconselhável ordenhar o vaca antes dar partir ? ;não . porque o bezerro precisar mamar o grande quantidade possível de colostro , logo depois de nascer , o fim de garantir o ingestão de quantidade suficiente de imunoglobulina . se o vaca ser ordenhar antes dar partir , o bezerro ir mamar ou receber colostro mais pobre , o que poder conferir-lhar pequeno resistência – imunidade . vaca que “pingam” leite vários dia antes dar parto , mesmo que não ordenhada , poder produzir colostro com baixa concentração de imunoglobulina . um prática indicar para produtor que dispor de freezer ser guardar um quantidade razoável de colostro , excedente dar primeira ordenha pós-parto de um vaca multíparo . esse colostro congelar poder ser usar na alimentação de bezerro recém-nascer , apenas ter o cuidado de descongelar em banho-maria , em temperatura inferior a 50°c , antes do seu fornecimento aos bezerro . 
16;16 haver algum substituto para o colostro ? ;sim . se não haver disponibilidade de colostro armazenar em freezer , o seguinte mistura dever ser fornecer três vez ao dia , 27 durante o primeiro 3 ou 4dio de vida dar bezerro : um ovo bater em 300ml de água , ao qual ser adicionar 1colher de chá de óleo vegetal e 600ml de leite integral . aclara de ovo ter efeito bactericida contra algum agente causador de diarreia , e o albumina dar ovo , à semelhanço da globulina dar colostro , poder passar inalterar para o corrente sanguíneo . além dissar , já existir no mercado gamaglobulina bovino para substituir o colostro , mas nem sempre ser possível encontrá-la no comércio . 
