,0,1,2,3,4
cuidadobezerro,cuidado,bezerro,1.0,7,4
cuidadofase,cuidado,fase,2.0,2,2
cuidadogestação,cuidado,gestação,3.0,5,2
cuidadogrande,cuidado,grande,7.1875,6,6
cuidadofeto,cuidado,feto,5.0,3,2
cuidadovaca,cuidado,vaca,9.75390625,24,10
cuidadogestante,cuidado,gestante,5.75,4,4
cuidadolactação,cuidado,lactação,10.5,4,4
cuidadoseca,cuidado,seca,10.0,2,2
cuidadoprever,cuidado,prever,11.0,2,2
cuidadoparto,cuidado,parto,12.0,4,2
cuidadoglândular,cuidado,glândular,13.0,2,2
cuidadomamário,cuidado,mamário,11.75,4,4
cuidadosobrevivência,cuidado,sobrevivência,16.0,2,2
cuidadonutricional,cuidado,nutricional,5.25,4,4
cuidadomineral,cuidado,mineral,19.0,2,2
cuidadovitamina,cuidado,vitamina,20.0,2,2
cuidadoteor,cuidado,teor,21.0,2,2
cuidadoproteína,cuidado,proteína,46.0,6,4
cuidadodieta,cuidado,dieta,23.0,2,2
cuidadovolumoso,cuidado,volumoso,24.0,3,2
cuidadoconcentrar,cuidado,concentrar,7.75,4,4
cuidadobasar,cuidado,basar,11.25,4,4
cuidadoseco,cuidado,seco,12.765625,9,8
cuidadogordo,cuidado,gordo,30.0,3,2
cuidadorisco,cuidado,risco,31.0,2,2
cuidadopasto,cuidado,pasto,34.0,2,2
cuidadopiquete,cuidado,piquete,54.5,4,4
cuidadomaternidade,cuidado,maternidade,36.0,2,2
cuidadolimpo,cuidado,limpo,14.75,4,4
cuidadoinstalação,cuidado,instalação,39.0,2,2
cuidadoprincipal,cuidado,principal,40.0,2,2
cuidadoperder,cuidado,perder,45.0,2,2
cuidadobom,cuidado,bom,9.0078125,14,10
cuidadocorporal,cuidado,corporal,48.0,3,2
cuidadomagro,cuidado,magro,50.0,2,2
cuidadoterço,cuidado,terço,51.0,2,2
cuidadosuplementar,cuidado,suplementar,54.0,2,2
cuidadobalança,cuidado,balança,56.0,2,2
bezerrofase,bezerro,fase,1.0000152746215463,39,38
bezerrogestação,bezerro,gestação,4.8125,10,6
bezerrogrande,bezerro,grande,1.7731794118881226,31,26
bezerrofeto,bezerro,feto,5.421875,12,8
bezerrovaca,bezerro,vaca,4.263168336109956,115,48
bezerrogestante,bezerro,gestante,6.25,7,4
bezerrolactação,bezerro,lactação,10.836944445967674,51,28
bezerroseca,bezerro,seca,24.4375,7,6
bezerroprever,bezerro,prever,6.0,3,2
bezerroparto,bezerro,parto,10.179103896021843,55,28
bezerroglândular,bezerro,glândular,4.0,3,2
bezerromamário,bezerro,mamário,3.0,3,2
bezerrosobrevivência,bezerro,sobrevivência,3.25,5,4
bezerronutricional,bezerro,nutricional,5.6875,9,8
bezerromineral,bezerro,mineral,13.296875,15,10
bezerrovitamina,bezerro,vitamina,13.5,7,6
bezerroteor,bezerro,teor,21.814697265625,19,16
bezerroproteína,bezerro,proteína,7.310128688812256,29,26
bezerrodieta,bezerro,dieta,25.640625,19,14
bezerrovolumoso,bezerro,volumoso,32.30078125,30,14
bezerroconcentrar,bezerro,concentrar,13.609618934919126,87,38
bezerrobasar,bezerro,basar,5.3125,9,8
bezerroseco,bezerro,seco,18.2523156106472,40,30
bezerrogordo,bezerro,gordo,13.0,8,4
bezerrorisco,bezerro,risco,3.59375,13,10
bezerropasto,bezerro,pasto,7.4609375,13,12
bezerropiquete,bezerro,piquete,4.03125,11,10
bezerromaternidade,bezerro,maternidade,19.0,5,4
bezerrolimpo,bezerro,limpo,18.659607008099556,33,32
bezerroinstalação,bezerro,instalação,11.053955078125,21,16
bezerroprincipal,bezerro,principal,1.0185546875,19,16
bezerroperder,bezerro,perder,28.0,5,4
bezerrobom,bezerro,bom,16.301269351511337,73,46
bezerrocorporal,bezerro,corporal,21.0625,12,8
bezerromagro,bezerro,magro,33.0,5,4
bezerroterço,bezerro,terço,34.0,5,4
bezerrosuplementar,bezerro,suplementar,37.0,5,4
bezerrobalança,bezerro,balança,39.0,5,4
fasegestação,fase,gestação,1.0,9,4
fasegrande,fase,grande,18.5,10,10
fasefeto,fase,feto,3.9375,7,6
fasevaca,fase,vaca,6.9541015625,28,12
fasegestante,fase,gestante,8.25,6,4
faselactação,fase,lactação,1.1435546875,12,12
faseseca,fase,seca,2.75,6,4
faseprever,fase,prever,9.0,2,2
faseparto,fase,parto,9.765625,28,12
faseglândular,fase,glândular,11.0,2,2
fasemamário,fase,mamário,6.0,4,4
fasesobrevivência,fase,sobrevivência,14.0,2,2
fasenutricional,fase,nutricional,7.5625,6,6
fasemineral,fase,mineral,5.5625,8,6
fasevitamina,fase,vitamina,18.0,2,2
faseteor,fase,teor,11.5,4,4
faseproteína,fase,proteína,14.375,6,6
fasedieta,fase,dieta,9.0,12,4
fasevolumoso,fase,volumoso,13.75,19,8
faseconcentrar,fase,concentrar,14.50390625,14,10
fasebasar,fase,basar,25.0,2,2
faseseco,fase,seco,17.375,9,8
fasegordo,fase,gordo,28.0,3,2
faserisco,fase,risco,26.0,4,4
fasepasto,fase,pasto,18.18359375,14,10
fasepiquete,fase,piquete,27.0,4,4
fasematernidade,fase,maternidade,34.0,2,2
faselimpo,fase,limpo,30.75,4,4
faseinstalação,fase,instalação,37.0,2,2
faseprincipal,fase,principal,1.02734375,14,14
faseperder,fase,perder,43.0,2,2
