source;target;Direction;TypeOf
sede;animal;Direct;Affects
sede;vaca;Direct;Affects
máximo;grande;Direct;EtymologicallyRelatedTo
sede;bezerro;Direct;Affects
sede;animais;Direct;Affects
sede;água;Direct;CausesDesire
sede;rebanho;Direct;Affects
sede;doença;Direct;Causes
sede;planta;Direct;Affects
sede;ordenha;Direct;Affects
sede;seco;Direct;EtymologicallyRelatedTo
sede;bovino;Direct;Affects
zebuínas;raça;Direct;IsA
sede;temperatura;Inverse;Causes
sede;dieta;Not;UsedFor
bezerra;vaca;Direct;IsA
decumbens;brachiaria;Inverse Compose;Composite
espécies;animal;Inverse;HasA
brizantha;brachiaria;Inverse Compose;Composite
concentração;volumoso;Direct;Affects
sede;novilho;Direct;Affects
leguminosa;gramínea;Inverse;IsA
espécies;solo;Inverse;HasProperty
minerais;vaca;Direct;Affects
novilha;vaca;Direct;IsA
animais;cruzamento;Direct;CapableOf
cobre;vaca;Direct;Affects
animais;pasto;Direct;AtLocation
sede;antibiótico;Inverse;Causes
inseminador;vaca;Direct;UsedIn
mamadeira;bezerro;Direct;UsedBy
minerais;dieta;Direct;UsedIn
parte;vaca;Inverse;HasProperty
animais;água;Inverse;UsedBy
mamária;mamar;Direct;UsedFor
mamária;vaca;Direct;HasA
sementes;solo;Direct;AtLocation
concentração;mineral;Direct;Measures
animais;forragem;Inverse;UsedBy
animais;temperatura;Direct;HasProperty
mamadeira;mamar;Direct;UsedFor
seca;dieta;Direct;Affects
sede;líquido;Direct;CausesDesire
sede;seca;Inverse;Causes
bezerra;mamar;Inverse;TypicalOf
animais;mineral;Inverse;Affects
sede;estresse;Direct;Causes
mamária;glândula;Direct;TypeOf
mamária;ordenha;Direct;UsedFor
mamária;quarto;Direct;HasA
leguminosa;pastagem;Direct;UsedFor
minerais;animal;Direct;Affects
sementes;pastagem;Inverse;HasPreqrequisite
bovina;animal;Direct;TypeOf
espécies;forragem;Inverse;HasProperty
espécies;planta;Inverse;HasProperty
zebuínas;vaca;Inverse;TypeOf
animais;adulto;Direct;HasProperty
animais;bezerro;Inverse;IsA
animais;bovino;Inverse;IsA
desmama;bezerro;Direct;Affects
minerais;vitamina;Direct;IsA
concentrado;ração;Direct;UsedIn
sementes;plantio;Direct;UsedFor
animais;tratamento;Inverse;UsedIn
bezerra;doença;Inverse;Affects
concentrado;alimento;Direct;UsedAs
monta;vaca;Inverse;UsedFor
concentração;ração;Direct;Measures
ordenhador;teto;Direct;UsedIn
espécies;gramínea;Inverse;HasProperty
nutrientes;vaca;Direct;Affects
parasitária;bovino;Direct;Affects
obesa;vaca;Direct;Affects
mamária;lactação;Inverse;CreatedBy
minerais;fósforo;Inverse;IsA
colhedeira;colher;Direct;UsedFor
sementes;germinação;Direct;CapableOf
fêmea;vaca;Inverse;IsA
concentração;alimento;Direct;Measures
concentração;nutriente;Direct;Measures
concentração;proteína;Direct;Measures
espécies;forrageiro;Inverse;HasProperty
espécies;pastejo;Inverse;HasProperty
alta;pequeno;Direct;Antonym
perda;corporal;Compose;Composite
zebuínas;animal;Direct;TypeOf
zebuínas;gir;Inverse;TypeOf
animais;filho;Direct;HasA
máximo;animais;Direct;Measures
máximo;água;Direct;Measures
salobra;água;Inverse;HasProperty
cobre;mineral;Direct;IsA
bezerra;abrigo;Direct;AtLocation
bezerra;animal;Direct;IsA
bezerra;raça;Direct;HasProperty
obeso;vaca;Direct;Affects
mamária;glândula;Direct;IsA
leguminosa;nitrogênio;Direct;Contains
minerais;água;Inverse;Contains
mocha;chifre;Not;Contains
concentrado;proteína;Direct;Contains
sementes;pequeno;Direct;HasProperty
aveia;plantio;Direct;UsedFor
humidicola;brachiaria;Inverse Compose;Composite
espécies;animais;Inverse;HasProperty
nutrientes;mineral;Inverse;Isa
parasitária;tristeza;Inverse Compose;Composite
novilha;grande;Direct;Measures
novilha;parto;Direct;CapableOf
aminoácido;proteína;Inverse;Contains
