,source,target
0,rançoso,bacteriano
1,rançoso,contaminação
2,rançoso,desinfetar
3,rançoso,álcool
4,rançoso,contagioso
5,rançoso,dose
6,rançoso,sadio
7,rançoso,patógeno
8,rançoso,sabor
9,rançoso,cordoalha
10,operar,eimeriose
11,operar,agressivo
12,operar,evaporativo
13,operar,eletroejaculação
14,operar,micronutriente
15,operar,eucalipto
16,operar,delgar
17,operar,lodo
18,operar,cobalto
19,operar,tanques
20,reprodutor,resistente
21,reprodutor,heterozigoto
22,reprodutor,ossaturo
23,reprodutor,orientar
24,reprodutor,gene
25,reprodutor,descendente
26,reprodutor,monta
27,reprodutor,objetivo
28,reprodutor,animais
29,reprodutor,libido
30,botijo,salmonelose
31,botijo,fluido
32,botijo,tanques
33,botijo,órgão
34,botijo,efluente
35,botijo,subtropical
36,botijo,quente
37,botijo,baia
38,botijo,moer
39,botijo,térmico
40,gramíneo,inverno
41,gramíneo,gênero
42,gramíneo,cultura
43,gramíneo,aveia
44,gramíneo,avear
45,gramíneo,ressemeadura
46,gramíneo,irrigação
47,gramíneo,adubar
48,gramíneo,luminosidade
49,gramíneo,chuva
50,fácil,carga
51,fácil,mal
52,fácil,dormência
53,fácil,intoxicação
54,fácil,colher
55,fácil,pus
56,fácil,palatável
57,fácil,vegetação
58,fácil,químico
59,fácil,bicheira
60,alvenaria,compostagem
61,alvenaria,anaeróbio
62,alvenaria,biossólido
63,alvenaria,cauda
64,alvenaria,durabilidade
65,alvenaria,evaporação
66,alvenaria,máximo
67,alvenaria,carrapaticidar
68,alvenaria,parâmetro
69,alvenaria,componente
70,confinar,armazenamento
71,confinar,sol
72,confinar,tratamento
73,confinar,lesão
74,confinar,agudo
75,confinar,ovário
76,confinar,oxigênio
77,confinar,pequeno
78,confinar,entrar
79,confinar,hormônio
80,mamadeira,obra
81,mamadeira,mão
82,mamadeira,infecção
83,mamadeira,pescoço
84,mamadeira,prostaglandina
85,mamadeira,secar
86,mamadeira,teto
87,mamadeira,taxa
88,mamadeira,quarto
89,mamadeira,ordenhador
90,herbicida,estação
91,herbicida,adubar
92,herbicida,gramíneo
93,herbicida,inverno
94,herbicida,associação
95,herbicida,tolerante
96,herbicida,gênero
97,herbicida,aveia
98,herbicida,irrigação
99,herbicida,macrocephala
100,transmissão,ferramenta
101,transmissão,fita
102,transmissão,sadio
103,transmissão,lento
104,transmissão,via
105,transmissão,infeccioso
106,transmissão,modo
107,transmissão,nebulização
108,transmissão,morcego
109,transmissão,grande
110,gir,guzerá
111,gir,genético
112,gir,aptidão
113,gir,zebuína
114,gir,progênie
115,gir,puro
116,gir,zebuíno
117,gir,heterose
118,gir,mestiço
119,gir,cruza
120,terraço,insolação
121,terraço,densidade
122,terraço,humidicola
123,terraço,caule
124,terraço,elevar
125,terraço,decumbens
126,terraço,terreno
127,terraço,radicular
128,terraço,queimada
129,terraço,efeito
130,sugador,palatabilidade
131,sugador,praga
132,sugador,reflexo
133,sugador,ataque
134,sugador,panicum
135,sugador,cigarra
136,sugador,superpastejo
137,sugador,terreno
138,sugador,chorume
139,sugador,nlemfuensis
140,entrar,fitoterapia
141,entrar,suficiente
142,entrar,tratamento
143,entrar,enzima
144,entrar,risco
145,entrar,tomar
146,entrar,iodofórmio
147,entrar,proporção
148,entrar,tecido
149,entrar,médico
150,via,encharcamento
151,via,lento
152,via,bacteriano
153,via,contaminação
154,via,sadio
155,via,morcego
156,via,transmissão
157,via,odor
158,via,recurso
159,via,nebulização
160,espuma,ovino
161,espuma,série
162,espuma,bovina
163,espuma,flúor
164,espuma,eficiente
165,espuma,ciclo
166,espuma,coccidiose
167,espuma,ovo
168,espuma,isolamento
169,espuma,queimar
170,forragem,rotativo
171,forragem,maculoso
172,forragem,samambaia
173,forragem,hectare
174,forragem,plantar
175,forragem,luminosidade
176,forragem,gênerar
177,forragem,chuva
178,forragem,exigência
179,forragem,capim
180,densidade,insolação
181,densidade,floração
182,densidade,copa
183,densidade,caule
184,densidade,árvore
185,densidade,infestação
186,densidade,inimigo
187,densidade,tóxico
188,densidade,humidicola
189,densidade,coccidiose
190,fluido,cirurgia
191,fluido,bebedouro
192,fluido,pilha
193,fluido,andrológico
194,fluido,inflamação
195,fluido,baia
196,fluido,efluente
197,fluido,estábulo
198,fluido,botijo
199,fluido,quente
200,progênie,genético
201,progênie,guzer
202,progênie,puro
203,progênie,zebuíno
204,progênie,guzerá
