,Term1,Term2
0,tanques,regrar
1,tanques,solubilização
2,tanques,couro
3,tanques,ereta
4,digestãar,diferem
5,digestãar,suplementar
6,digestãar,rasteiro
7,digestãar,enxofre
8,farinha,elétrica
9,farinha,magnésio
10,farinha,sintético
11,farinha,montar
12,cinza,herbáceo
13,cinza,ressemeadura
14,cinza,petróleo
15,cinza,casa
16,invasão,face
17,invasão,procurar
18,invasão,endereço
19,invasão,cor
20,confiança,óxido
21,confiança,ciclo
22,confiança,cobalto
23,confiança,procurar
24,arborização,braquiária
25,arborização,espécie
26,arborização,pastagem
27,arborização,capim
28,silício,boca
29,silício,banho
30,silício,útil
31,silício,brinco
32,embrionário,corda
33,embrionário,digestível
34,embrionário,tostagem
35,embrionário,pata
36,confinar,examinar
37,confinar,zootécnico
38,confinar,multiflorum
39,confinar,distúrbio
40,cristalino,bicarbonato
41,cristalino,sintetizar
42,cristalino,óxido
43,cristalino,canaleta
44,hormonal,óxido
45,hormonal,manganês
46,hormonal,cobalto
47,hormonal,canaleta
48,aviário,alagamento
49,aviário,sabão
50,aviário,neblina
51,aviário,porosidade
52,subséssel,seivar
53,subséssel,queima
54,subséssel,biomassa
55,subséssel,orvalho
56,toxidez,seivar
57,toxidez,mutica
58,toxidez,perímetro
59,toxidez,feto
60,verme,muco
61,verme,óxido
62,verme,abomaso
63,verme,coler
64,contrair,microbiana
65,contrair,cruza
66,contrair,dietético
67,contrair,aminoácido
68,gramíneo,examinar
69,gramíneo,acidente
70,gramíneo,coliforme
71,gramíneo,rotacionar
72,antibiótico,resíduo
73,antibiótico,leite
74,antibiótico,ordenha
75,antibiótico,presença
76,coloração,liber
77,coloração,aditivo
78,coloração,fertilização
79,coloração,cor
80,ruziziensil,brizanthar
81,ruziziensil,decumbem
82,ruziziensil,manganês
83,ruziziensil,dor
84,saginatar,argila
85,saginatar,estiagem
86,saginatar,florescer
87,saginatar,caule
88,trincheira,sensibilidade
89,trincheira,vitro
90,trincheira,fetal
91,trincheira,prostaglandina
92,consumir,animal
93,consumir,samambaia
94,consumir,afetar
95,consumir,morte
96,partícula,picar
97,partícula,aveia
98,partícula,alumínio
99,partícula,garupa
100,estábulo,dactylon
101,estábulo,liber
102,estábulo,fertilização
103,estábulo,cor
104,alagamento,safra
105,alagamento,arroxear
106,alagamento,capineira
107,alagamento,herbicida
108,treinamento,aminoácido
109,treinamento,contagioso
110,treinamento,freezer
111,treinamento,deslocamento
112,sequenciamento,oxigênio
113,sequenciamento,orientar
114,sequenciamento,estéril
115,sequenciamento,permanente
116,granulado,rodízio
117,granulado,manganês
118,granulado,cobalto
119,granulado,potássio
120,hábito,rasteiro
121,hábito,dactylon
122,hábito,queimada
123,hábito,cor
124,agente,doença
125,agente,carrapato
126,agente,morte
127,agente,sintoma
128,parede,vitro
129,parede,distúrbio
130,parede,cobalto
131,parede,andrológico
132,subereta,mochar
133,subereta,quaternária
134,subereta,féter
135,subereta,pneumoenterite
136,profissional,potássio
137,profissional,pesagem
138,profissional,sintético
139,profissional,divisória
140,estiagem,perfilhamento
141,estiagem,cespitoso
142,estiagem,queima
143,estiagem,dossel
144,reter,gordura
145,reter,alimento
146,reter,proteína
147,reter,concentrado
148,ossaturo,herdar
149,ossaturo,dactylon
150,ossaturo,pesar
151,ossaturo,medo
152,genômica,fertilização
153,genômica,sintético
154,genômica,liber
155,genômica,magnésio
156,sanguíneo,corrente
157,sanguíneo,cobalto
158,sanguíneo,teta
159,sanguíneo,muco
160,ferramenta,cruza
161,ferramenta,somatotropina
162,ferramenta,armazenamento
163,ferramenta,microbiana
164,técnico,água
165,técnico,resíduo
166,técnico,concentração
167,técnico,orgânico
168,uterino,útero
169,uterino,velho
170,uterino,obeso
171,uterino,magra
172,molécula,termômetro
173,molécula,aquecedor
174,molécula,trilha
175,molécula,descamação
176,pomada,tanchagem
177,pomada,liber
178,pomada,elétrica
179,pomada,sintético
180,eletroejaculação,infestações
181,eletroejaculação,prateleira
182,eletroejaculação,fervente
183,eletroejaculação,lixiviados
184,terapêutico,tomada
