source,target
tanques,rebanhar
tanques,alta
tanques,rebanho
tanques,hectare
digestãar,perímetro
digestãar,vento
digestãar,florescimento
digestãar,veranico
farinha,cartilagem
farinha,camomila
farinha,articulação
farinha,bexiga
cinza,casca
cinza,serragem
cinza,androgenizadar
cinza,estimulante
invasão,vício
invasão,cauda
invasão,paciência
invasão,estereotipia
confiança,medo
confiança,reação
confiança,herdar
confiança,protozoário
arborização,pastagem
arborização,meloso
arborização,desfolha
arborização,piquete
silício,estrangulamento
silício,gelo
silício,vanádio
silício,cromo
embrionário,segregação
embrionário,rim
embrionário,prostaglandina
embrionário,citratar
confinar,fator
confinar,exigência
confinar,clonagem
confinar,físico
cristalino,homozigoto
cristalino,tecnificação
cristalino,mocho
cristalino,engorda
hormonal,frigidez
hormonal,sintetizar
hormonal,cetose
hormonal,masculino
aviário,cama
aviário,lixão
aviário,anestro
aviário,subnutrição
subséssel,glabra
subséssel,ráqul
subséssel,capineira
subséssel,decumbente
toxidez,replantio
toxidez,choque
toxidez,fotossensibilização
toxidez,predador
verme,homeopático
verme,traumático
verme,pneumonia
verme,traumatismo
contrair,cetose
contrair,hormonal
contrair,frigidez
contrair,diarrear
gramíneo,leguminoso
gramíneo,gramínea
gramíneo,irrigação
gramíneo,tropical
antibiótico,resíduo
antibiótico,quarto
antibiótico,médico
antibiótico,tratamento
coloração,articulação
coloração,ptaquiloser
coloração,progesterona
coloração,barbela
ruziziensil,brizanthar
ruziziensil,brachiaria
ruziziensil,decumbem
ruziziensil,humidicola
saginatar,cespitoso
saginatar,braquiaro
saginatar,toxicidade
saginatar,dossel
trincheira,botijo
trincheira,profissional
trincheira,semissólido
trincheira,fermentar
consumir,oferecer
consumir,mole
consumir,afetar
consumir,meio
partícula,forrageira
partícula,inverno
partícula,sexar
partícula,chuva
estábulo,orientar
estábulo,garupa
estábulo,perfil
estábulo,planejamento
alagamento,análise
alagamento,solo
alagamento,gradagem
alagamento,vegetal
treinamento,imunológico
treinamento,estressar
treinamento,compostagem
treinamento,arbóreo
sequenciamento,barbela
sequenciamento,capilar
sequenciamento,cisto
sequenciamento,acupuntura
granulado,freezer
granulado,carvão
granulado,aditivo
granulado,multiestrato
hábito,aferição
hábito,traumatismo
hábito,cordão
hábito,vidro
agente,isolamento
agente,imunidade
agente,enfermidade
agente,doença
parede,psicrotrófica
parede,primípara
parede,aferição
parede,amargo
subereta,embalagem
subereta,herbácea
subereta,metionina
subereta,sanguíneo
profissional,fermentar
profissional,elétrica
profissional,rasteiro
profissional,oócito
estiagem,estria
estiagem,espécies
estiagem,obesidade
estiagem,forragear
reter,microbiológico
reter,pasteurizado
reter,fluido
reter,refrigerar
ossaturo,zebuína
ossaturo,revacinar
ossaturo,holandês
ossaturo,fêmeo
genômica,óxido
genômica,herbicida
genômica,ginecológico
genômica,abdômen
sanguíneo,embalagem
sanguíneo,amargo
sanguíneo,corrente
sanguíneo,fibroso
ferramenta,árvore
ferramenta,irrigação
ferramenta,cultura
ferramenta,mocha
técnico,genético
técnico,procedimento
técnico,mole
técnico,rufião
uterino,infecção
uterino,prever
uterino,subnutrição
uterino,gestante
molécula,fluido
molécula,mole
molécula,lactação
molécula,enzima
pomada,desidratadar
pomada,tanchagem
pomada,viscosidade
pomada,lacrado
eletroejaculação,semeadura
eletroejaculação,morcego
eletroejaculação,calcário
eletroejaculação,libido
terapêutico,reação
terapêutico,populaçãar
terapêutico,ereta
terapêutico,leucena
genotipar,andrológico
genotipar,tamponante
genotipar,sexo
genotipar,solto
restinga,salobra
restinga,transição
restinga,carvão
restinga,cisteína
demora,febril
demora,apatia
