,Network,DecayRate,PreciseHits,Pct Hits,Window,HitsInWindow,PctHitsInWindow
0,FullyMergedNR,0.2,63,0.126,10,226,0.452
1,FullyMergedNR,0.2,63,0.126,15,264,0.528
2,FullyMergedNR,0.2,63,0.126,20,288,0.576
3,FullyMergedNR,0.3,58,0.116,10,225,0.45
4,FullyMergedNR,0.3,58,0.116,15,256,0.512
5,FullyMergedNR,0.3,58,0.116,20,282,0.564
6,FullyMergedNR,0.4,57,0.114,10,209,0.418
7,FullyMergedNR,0.4,57,0.114,15,249,0.498
8,FullyMergedNR,0.4,57,0.114,20,270,0.54
9,FullyMergedNR,0.5,53,0.106,10,204,0.408
10,FullyMergedNR,0.5,53,0.106,15,238,0.476
11,FullyMergedNR,0.5,53,0.106,20,258,0.516
0,FullyMergedR,0.2,31,0.062,10,167,0.334
1,FullyMergedR,0.2,31,0.062,15,205,0.41
2,FullyMergedR,0.2,31,0.062,20,227,0.454
3,FullyMergedR,0.3,28,0.056,10,147,0.294
4,FullyMergedR,0.3,28,0.056,15,184,0.368
5,FullyMergedR,0.3,28,0.056,20,210,0.42
6,FullyMergedR,0.4,28,0.056,10,129,0.258
7,FullyMergedR,0.4,28,0.056,15,169,0.338
8,FullyMergedR,0.4,28,0.056,20,189,0.378
9,FullyMergedR,0.5,24,0.048,10,118,0.236
10,FullyMergedR,0.5,24,0.048,15,153,0.306
11,FullyMergedR,0.5,24,0.048,20,174,0.348
0,FullyMergedN,0.2,31,0.062,10,172,0.344
1,FullyMergedN,0.2,31,0.062,15,207,0.414
2,FullyMergedN,0.2,31,0.062,20,230,0.46
3,FullyMergedN,0.3,28,0.056,10,150,0.3
4,FullyMergedN,0.3,28,0.056,15,186,0.372
5,FullyMergedN,0.3,28,0.056,20,216,0.432
6,FullyMergedN,0.4,28,0.056,10,133,0.266
7,FullyMergedN,0.4,28,0.056,15,171,0.342
8,FullyMergedN,0.4,28,0.056,20,196,0.392
9,FullyMergedN,0.5,24,0.048,10,120,0.24
10,FullyMergedN,0.5,24,0.048,15,159,0.318
11,FullyMergedN,0.5,24,0.048,20,177,0.354
0,FullyMerged,0.2,38,0.076,10,184,0.368
1,FullyMerged,0.2,38,0.076,15,214,0.428
2,FullyMerged,0.2,38,0.076,20,251,0.502
3,FullyMerged,0.3,31,0.062,10,170,0.34
4,FullyMerged,0.3,31,0.062,15,201,0.402
5,FullyMerged,0.3,31,0.062,20,224,0.448
6,FullyMerged,0.4,28,0.056,10,150,0.3
7,FullyMerged,0.4,28,0.056,15,182,0.364
8,FullyMerged,0.4,28,0.056,20,206,0.412
9,FullyMerged,0.5,23,0.046,10,134,0.268
10,FullyMerged,0.5,23,0.046,15,165,0.33
11,FullyMerged,0.5,23,0.046,20,191,0.382
