source,target
tanques,regrar
tanques,solubilização
tanques,couro
tanques,ereta
digestãar,diferem
digestãar,suplementar
digestãar,rasteiro
digestãar,enxofre
farinha,elétrica
farinha,magnésio
farinha,sintético
farinha,montar
cinza,herbáceo
cinza,ressemeadura
cinza,petróleo
cinza,casa
invasão,face
invasão,procurar
invasão,endereço
invasão,cor
confiança,óxido
confiança,ciclo
confiança,cobalto
confiança,procurar
arborização,braquiária
arborização,espécie
arborização,pastagem
arborização,capim
silício,boca
silício,banho
silício,útil
silício,brinco
embrionário,corda
embrionário,digestível
embrionário,tostagem
embrionário,pata
confinar,examinar
confinar,zootécnico
confinar,multiflorum
confinar,distúrbio
cristalino,bicarbonato
cristalino,sintetizar
cristalino,óxido
cristalino,canaleta
hormonal,óxido
hormonal,manganês
hormonal,cobalto
hormonal,canaleta
aviário,alagamento
aviário,sabão
aviário,neblina
aviário,porosidade
subséssel,seivar
subséssel,queima
subséssel,biomassa
subséssel,orvalho
toxidez,seivar
toxidez,mutica
toxidez,perímetro
toxidez,feto
verme,muco
verme,óxido
verme,abomaso
verme,coler
contrair,microbiana
contrair,cruza
contrair,dietético
contrair,aminoácido
gramíneo,examinar
gramíneo,acidente
gramíneo,coliforme
gramíneo,rotacionar
antibiótico,resíduo
antibiótico,leite
antibiótico,ordenha
antibiótico,presença
coloração,liber
coloração,aditivo
coloração,fertilização
coloração,cor
ruziziensil,brizanthar
ruziziensil,decumbem
ruziziensil,manganês
ruziziensil,dor
saginatar,argila
saginatar,estiagem
saginatar,florescer
saginatar,caule
trincheira,sensibilidade
trincheira,vitro
trincheira,fetal
trincheira,prostaglandina
consumir,animal
consumir,samambaia
consumir,afetar
consumir,morte
partícula,picar
partícula,aveia
partícula,alumínio
partícula,garupa
estábulo,dactylon
estábulo,liber
estábulo,fertilização
estábulo,cor
alagamento,safra
alagamento,arroxear
alagamento,capineira
alagamento,herbicida
treinamento,aminoácido
treinamento,contagioso
treinamento,freezer
treinamento,deslocamento
sequenciamento,oxigênio
sequenciamento,orientar
sequenciamento,estéril
sequenciamento,permanente
granulado,rodízio
granulado,manganês
granulado,cobalto
granulado,potássio
hábito,rasteiro
hábito,dactylon
hábito,queimada
hábito,cor
agente,doença
agente,carrapato
agente,morte
agente,sintoma
parede,vitro
parede,distúrbio
parede,cobalto
parede,andrológico
subereta,mochar
subereta,quaternária
subereta,féter
subereta,pneumoenterite
profissional,potássio
profissional,pesagem
profissional,sintético
profissional,divisória
estiagem,perfilhamento
estiagem,cespitoso
estiagem,queima
estiagem,dossel
reter,gordura
reter,alimento
reter,proteína
reter,concentrado
ossaturo,herdar
ossaturo,dactylon
ossaturo,pesar
ossaturo,medo
genômica,fertilização
genômica,sintético
genômica,liber
genômica,magnésio
sanguíneo,corrente
