,source,target
0,tanques,rebanhar
1,tanques,alta
2,tanques,rebanho
3,tanques,hectare
4,digestãar,perímetro
5,digestãar,vento
6,digestãar,florescimento
7,digestãar,veranico
8,farinha,cartilagem
9,farinha,camomila
10,farinha,articulação
11,farinha,bexiga
12,cinza,casca
13,cinza,serragem
14,cinza,androgenizadar
15,cinza,estimulante
16,invasão,vício
17,invasão,cauda
18,invasão,paciência
19,invasão,estereotipia
20,confiança,medo
21,confiança,reação
22,confiança,herdar
23,confiança,protozoário
24,arborização,pastagem
25,arborização,meloso
26,arborização,desfolha
27,arborização,piquete
28,silício,estrangulamento
29,silício,gelo
30,silício,vanádio
31,silício,cromo
32,embrionário,segregação
33,embrionário,rim
34,embrionário,prostaglandina
35,embrionário,citratar
36,confinar,fator
37,confinar,exigência
38,confinar,clonagem
39,confinar,físico
40,cristalino,homozigoto
41,cristalino,tecnificação
42,cristalino,mocho
43,cristalino,engorda
44,hormonal,frigidez
45,hormonal,sintetizar
46,hormonal,cetose
47,hormonal,masculino
48,aviário,cama
49,aviário,lixão
50,aviário,anestro
51,aviário,subnutrição
52,subséssel,glabra
53,subséssel,ráqul
54,subséssel,capineira
55,subséssel,decumbente
56,toxidez,replantio
57,toxidez,choque
58,toxidez,fotossensibilização
59,toxidez,predador
60,verme,homeopático
61,verme,traumático
62,verme,pneumonia
63,verme,traumatismo
64,contrair,cetose
65,contrair,hormonal
66,contrair,frigidez
67,contrair,diarrear
68,gramíneo,leguminoso
69,gramíneo,gramínea
70,gramíneo,irrigação
71,gramíneo,tropical
72,antibiótico,resíduo
73,antibiótico,quarto
74,antibiótico,médico
75,antibiótico,tratamento
76,coloração,articulação
77,coloração,ptaquiloser
78,coloração,progesterona
79,coloração,barbela
80,ruziziensil,brizanthar
81,ruziziensil,brachiaria
82,ruziziensil,decumbem
83,ruziziensil,humidicola
84,saginatar,cespitoso
85,saginatar,braquiaro
86,saginatar,toxicidade
87,saginatar,dossel
88,trincheira,botijo
89,trincheira,profissional
90,trincheira,semissólido
91,trincheira,fermentar
92,consumir,oferecer
93,consumir,mole
94,consumir,afetar
95,consumir,meio
96,partícula,forrageira
97,partícula,inverno
98,partícula,sexar
99,partícula,chuva
100,estábulo,orientar
101,estábulo,garupa
102,estábulo,perfil
