"index";"from";"to"
0;"gado";"cavalo"
1;"vermis";"equilíbrio"
2;"inclinação";"declive"
3;"substância";"química"
4;"substância";"mistura"
5;"substância";"matéria"
6;"substância";"leite"
7;"substância";"composição química"
8;"substância";"água"
9;"leiteiro";"gado"
10;"leiteiro";"manteiga"
11;"leiteiro";"ovo"
12;"leiteiro";"leite"
13;"leiteiro";"queijo"
14;"filha";"mãe"
15;"nutritivo";"gordura"
16;"nutritivo";"ração"
17;"nutritivo";"brasil"
18;"nutritivo";"alimentação"
19;"nutritivo";"energia"
20;"nutritivo";"vitamina"
21;"nutritivo";"proteína"
22;"andropogon";"espécie"
23;"sal";"fosfato"
24;"sal";"sólido"
25;"sal";"ph"
26;"sal";"alimentação"
27;"sal";"magnésio"
28;"sal";"mistura"
29;"sal";"alumínio"
30;"sal";"cálcio"
31;"sal";"composto orgânico"
32;"sal";"água"
33;"brizantha";"bactéria"
34;"brizantha";"gramínea"
35;"heterose";"animai"
36;"heterose";"elefante"
37;"heterose";"fêmea"
38;"heterose";"cavalo"
39;"heterose";"agricultura"
40;"heterose";"planta"
41;"heterose";"folha"
42;"heterose";"clonagem"
43;"heterose";"gene"
44;"heterose";"melhoramento genético"
45;"heterose";"espécie"
46;"heterose";"vaca"
47;"heterose";"genoma"
48;"heterose";"genética"
49;"heterose";"semente"
50;"sombrite";"brasil"
51;"sombrite";"população"
52;"secas";"irrigação"
53;"secas";"temperatura"
54;"secas";"ambiente"
55;"secas";"semente"
56;"líquido";"temperatura"
57;"líquido";"sólido"
58;"líquido";"volume"
59;"líquido";"partícula"
60;"líquido";"matéria"
61;"líquido";"água"
62;"mamários";"glândula"
63;"mamários";"espécie"
64;"mamários";"microrganismo"
65;"mamários";"cavalo"
66;"mamários";"bactéria"
67;"mamários";"leite"
68;"mamários";"hormônio"
69;"mamários";"ovo"
70;"mamários";"proteína"
71;"ocorrem";"brasil"
72;"ocorrem";"ovo"
73;"mão";"vagina"
74;"cmt";"dna"
75;"cmt";"genética"
76;"gêmeo";"placenta"
77;"gêmeo";"genoma"
78;"gêmeo";"gestação"
79;"espera";"brasil"
80;"processo";"insumo"
81;"processo";"planejamento"
82;"processo";"controle"
83;"processo";"manutenção"
84;"chuvas";"líquido"
85;"chuvas";"seca"
86;"chuvas";"inverno"
87;"chuvas";"sólido"
88;"chuvas";"árvore"
89;"chuvas";"óleo"
90;"chuvas";"brasil"
91;"chuvas";"agricultura"
92;"chuvas";"planta"
93;"chuvas";"volume"
94;"chuvas";"bactéria"
95;"chuvas";"solo"
96;"chuvas";"cultura"
97;"chuvas";"superfície"
98;"chuvas";"água"
99;"concentrada";"energia"
100;"concentrada";"adição"
101;"concentrada";"padrão"
102;"concentrada";"frequência"
103;"jovens";"brasil"
104;"jovens";"agricultura"
105;"jovens";"cultura"
106;"jovens";"sexo"
107;"desenvolvam";"brasil"
108;"parto";"placenta"
109;"parto";"infecção"
110;"parto";"árvore"
111;"parto";"acidez"
112;"parto";"brasil"
113;"parto";"útero"
114;"parto";"lactação"
115;"parto";"dor"
116;"parto";"cérvix"
117;"parto";"hormônio"
118;"parto";"médico"
119;"parto";"inseminação artificial"
120;"parto";"vagina"
121;"parto";"cultura"
122;"agricultura";"indústria"
123;"agricultura";"árvore"
124;"agricultura";"irrigação"
125;"agricultura";"produtividade"
126;"agricultura";"fertilidade"
127;"agricultura";"alimento"
128;"agricultura";"microrganismo"
129;"agricultura";"milho"
130;"agricultura";"solo"
131;"agricultura";"técnica"
132;"agricultura";"cultura"
133;"agricultura";"genética"
134;"agricultura";"semente"
135;"agricultura";"água"
136;"agricultura";"transporte"
137;"agricultura";"adubação"
138;"agricultura";"sorgo"
139;"agricultura";"cerca"
140;"agricultura";"madeira"
141;"agricultura";"produção"
142;"agricultura";"ambiente"
