,from,to
0,andropogon,espécie
1,vermis,equilíbrio
2,inclinação,terra
3,inclinação,declive
4,sombrite,população
5,sombrite,brasil
6,concentrada,adição
7,concentrada,padrão
8,concentrada,frequência
9,concentrada,energia
10,mamários,ovo
11,mamários,cavalo
12,mamários,espécie
13,mamários,leite
14,mamários,proteína
15,mamários,hormônio
16,mamários,bactéria
17,mamários,homem
18,mamários,microrganismo
19,mamários,glândula
20,processo,controle
21,processo,insumo
22,processo,manutenção
23,processo,osso
24,processo,planejamento
25,nutritivo,vitamina
26,nutritivo,salmonelose
27,nutritivo,energia
28,nutritivo,brasil
29,nutritivo,proteína
30,nutritivo,alimentação
31,nutritivo,ração
32,nutritivo,gordura
33,nutritivo,feto
34,substância,matéria
35,substância,mistura
36,substância,composição química
37,substância,química
38,substância,leite
39,substância,água
40,filha,terra
41,filha,mãe
42,filha,pai
43,leiteiro,ovo
44,leiteiro,leite
45,leiteiro,queijo
46,leiteiro,gado
47,leiteiro,homem
48,leiteiro,dia
49,leiteiro,manteiga
50,líquido,volume
51,líquido,temperatura
52,líquido,matéria
53,líquido,sólido
54,líquido,água
55,líquido,partícula
56,brizantha,bactéria
57,brizantha,gramínea
58,chuvas,terra
59,chuvas,volume
60,chuvas,superfície
61,chuvas,seca
62,chuvas,planta
63,chuvas,água
64,chuvas,árvore
65,chuvas,litro
66,chuvas,brasil
67,chuvas,inverno
68,chuvas,óleo
69,chuvas,bactéria
70,chuvas,café
71,chuvas,sólido
72,chuvas,líquido
73,chuvas,cultura
74,chuvas,agricultura
75,chuvas,solo
76,gado,cavalo
77,espera,brasil
78,ocorrem,osso
79,ocorrem,ovo
80,ocorrem,brasil
81,secas,clima
82,secas,chuva
83,secas,temperatura
84,secas,irrigação
85,secas,ambiente
86,secas,semente
87,heterose,espécie
88,heterose,vaca
89,heterose,planta
90,heterose,cavalo
91,heterose,animai
92,heterose,fêmea
93,heterose,genoma
94,heterose,elefante
95,heterose,melhoramento genético
96,heterose,folha
97,heterose,clonagem
98,heterose,gene
99,heterose,semente
100,heterose,genética
101,heterose,agricultura
102,jovens,brasil
103,jovens,saúde
104,jovens,sexo
105,jovens,trabalho
106,jovens,cultura
107,jovens,agricultura
108,cmt,genética
109,cmt,dna
110,mão,testículo
111,mão,vagina
112,gêmeo,genoma
113,gêmeo,placenta
114,gêmeo,califórnia
115,gêmeo,gestação
116,gêmeo,embrião
117,sal,sulfato
118,sal,cálcio
119,sal,mistura
120,sal,fosfato
121,sal,alumínio
122,sal,alimentação
123,sal,ph
124,sal,magnésio
125,sal,amônia
126,sal,sólido
127,sal,água
128,sal,composto orgânico
129,parto,lactação
130,parto,cérvix
131,parto,pai
132,parto,recém-nascido
133,parto,vagina
134,parto,árvore
135,parto,brasil
136,parto,placenta
137,parto,acidez
138,parto,hormônio
139,parto,útero
140,parto,dor
141,parto,médico
142,parto,cultura
143,parto,feto
144,parto,infecção
145,parto,inseminação artificial
146,partícula,verde
147,partícula,energia
148,selênio,fósforo
149,selênio,vida
150,selênio,rocha
151,selênio,sódio
152,selênio,água
153,selênio,mineral
154,selênio,cálcio
155,selênio,enxofre
156,selênio,alumínio
157,selênio,sólido
158,selênio,magnésio
159,selênio,dia
160,selênio,composto orgânico
161,selênio,cobalto
162,maneira,terra
163,maneira,papel
164,maneira,planta
165,maneira,água
166,maneira,árvore
167,maneira,energia
168,maneira,fibra
169,maneira,inseto
170,maneira,nutriente
171,maneira,polpa
172,maneira,célula
173,maneira,casca
174,maneira,espécie
175,maneira,solo
176,maneira,semente
177,maneira,orgânico
178,agricultura,soja
179,agricultura,cerca
180,agricultura,grão
181,agricultura,nitrogênio
182,agricultura,ambiente
183,agricultura,saúde
184,agricultura,adubação
185,agricultura,natureza
186,agricultura,semente
187,agricultura,solo
188,agricultura,água
189,agricultura,cevada
190,agricultura,microrganismo
191,agricultura,indústria
192,agricultura,madeira
193,agricultura,árvore
194,agricultura,fibra
195,agricultura,cultura
196,agricultura,clima
197,agricultura,resíduo
198,agricultura,energia
199,agricultura,arroz
200,agricultura,produtividade
201,agricultura,algodão
202,agricultura,milho
203,agricultura,eficiência
204,agricultura,alimento
205,agricultura,fazenda
206,agricultura,irrigação
207,agricultura,técnica
208,agricultura,transporte
209,agricultura,fertilidade
210,agricultura,medicamento
211,agricultura,produção
212,agricultura,sorgo
213,agricultura,genética
214,agricultura,homem
215,imunoglobulina,sangue
216,imunoglobulina,ureia
217,imunoglobulina,cavalo
218,imunoglobulina,proteína
219,imunoglobulina,genoma
220,imunoglobulina,inflamação
221,imunoglobulina,bactéria
222,imunoglobulina,parasitismo
223,imunoglobulina,clonagem
224,imunoglobulina,gene
225,imunoglobulina,ph
226,imunoglobulina,solução
227,imunoglobulina,organismo
228,imunoglobulina,feto
229,imunoglobulina,infecção
230,desenvolvam,terra
231,desenvolvam,seca
232,desenvolvam,umidade relativa
233,desenvolvam,soja
234,desenvolvam,adubo
235,desenvolvam,cálcio
236,desenvolvam,ph
237,desenvolvam,cevada
238,desenvolvam,sulfato
239,desenvolvam,estresse térmico
240,desenvolvam,geada
241,desenvolvam,balanço energético
242,desenvolvam,clima
243,desenvolvam,vida
244,desenvolvam,energia
245,desenvolvam,cerrado
246,desenvolvam,agricultura
247,desenvolvam,consumo
248,desenvolvam,milho
249,desenvolvam,sorgo
250,desenvolvam,estresse
251,deixar,brasil
252,infecção,doença
253,infecção,brasil
254,infecção,inflamação
255,infecção,antibiótico
256,infecção,bactéria
257,infecção,organismo
258,infecção,microrganismo
259,sólido,volume
260,sólido,matéria
261,sólido,forma
262,sólido,líquido
263,sólido,água
264,sólido,partícula
265,papel,madeira
266,papel,qualidade
267,papel,rocha
268,papel,árvore
269,papel,fibra
270,papel,suporte
271,papel,folha
272,papel,osso
273,papel,algodão
274,desvantagen,califórnia
275,bons,cultura
276,eficiente,energia
277,eficiente,transporte
278,eficiente,saúde
279,eficiente,trabalho
280,eficiente,produção
281,eficiente,natureza
282,eficiente,cultura
283,eficiente,agricultura
284,eficiente,calor
285,eficiente,indústria
286,produçõe,custo
287,produçõe,eficiência
288,produçõe,necessidade
289,produçõe,transporte
290,produçõe,saúde
291,produçõe,produtividade
292,produçõe,serviço
293,produçõe,processo
294,produçõe,natureza
295,produçõe,produto
296,produçõe,cultura
297,produçõe,agricultura
298,produçõe,indústria
299,mercado,eficiência
300,mercado,transporte
301,mercado,saúde
302,mercado,produção
303,mercado,natureza
304,mercado,cultura
305,mercado,agricultura
306,mercado,mercado
307,mercado,indústria
308,produzida,brasil
309,produzida,açúcar
310,produzida,água
311,feita,banco
312,kg,litro
313,kg,tonelada
314,kg,peso
315,kg,tempo
316,kg,kg
317,kg,ano
318,kg,micro
319,kg,dia
320,kg,hectare
321,confinada,brasil
322,hormônio,sangue
323,hormônio,testículo
324,hormônio,placenta
325,hormônio,ovário
326,hormônio,hormônio
327,hormônio,célula
328,hormônio,reprodução
329,hormônio,homem
