,from,to
0,andropogon,espécie
1,vermis,equilíbrio
2,inclinação,terra
3,inclinação,declive
4,sombrite,população
5,sombrite,brasil
6,concentrado,adição
7,concentrado,padrão
8,concentrado,frequência
9,concentrado,energia
10,mamário,ovo
11,mamário,cavalo
12,mamário,espécie
13,mamário,leite
14,mamário,proteína
15,mamário,hormônio
16,mamário,bactério
17,mamário,homem
18,mamário,microrganismo
19,mamário,glândula
20,processo,controle
21,processo,insumo
22,processo,manutenção
23,processo,osso
24,processo,planejamento
25,nutritivo,vitamina
26,nutritivo,salmonelose
27,nutritivo,energia
28,nutritivo,brasil
29,nutritivo,proteína
30,nutritivo,alimentação
31,nutritivo,ração
32,nutritivo,gordura
33,nutritivo,feto
34,substância,matéria
35,substância,mistura
36,substância,composição química
37,substância,químico
38,substância,leite
39,substância,água
40,filho,terra
41,filho,mãe
42,filho,pai
43,leiteiro,ovo
44,leiteiro,leite
45,leiteiro,queijo
46,leiteiro,gado
47,leiteiro,homem
48,leiteiro,dia
49,leiteiro,manteiga
50,líquido,volume
51,líquido,temperatura
52,líquido,matéria
53,líquido,sólido
54,líquido,água
55,líquido,partícula
56,brizantha,bactério
57,brizantha,gramíneo
58,chuva,terra
59,chuva,volume
60,chuva,superfície
61,chuva,seco
62,chuva,planta
63,chuva,água
64,chuva,árvore
65,chuva,litro
66,chuva,brasil
67,chuva,inverno
68,chuva,óleo
69,chuva,bactério
70,chuva,café
71,chuva,sólido
72,chuva,líquido
73,chuva,cultura
74,chuva,agricultura
75,chuva,solo
76,gado,cavalo
77,espera,brasil
78,ocorrer,osso
79,ocorrer,ovo
80,ocorrer,brasil
81,seco,clima
82,seco,chuva
83,seco,temperatura
84,seco,irrigação
85,seco,ambiente
86,seco,semente
87,heterose,espécie
88,heterose,vaca
89,heterose,planta
90,heterose,cavalo
91,heterose,animar
92,heterose,fêmeo
93,heterose,genoma
94,heterose,elefante
95,heterose,melhoramento genético
96,heterose,folha
97,heterose,clonagem
98,heterose,gene
99,heterose,semente
100,heterose,genético
101,heterose,agricultura
102,jovem,brasil
103,jovem,saúde
104,jovem,sexo
105,jovem,trabalho
106,jovem,cultura
107,jovem,agricultura
108,cmt,genético
109,cmt,dna
110,mão,testículo
111,mão,vagina
112,gêmeo,genoma
113,gêmeo,placenta
114,gêmeo,califórnio
115,gêmeo,gestação
116,gêmeo,embrião
117,sal,sulfato
118,sal,cálcio
119,sal,mistura
120,sal,fosfato
121,sal,alumínio
122,sal,alimentação
123,sal,ph
124,sal,magnésio
125,sal,amônio
126,sal,sólido
127,sal,água
128,sal,composto orgânico
129,parto,lactação
130,parto,cérvix
131,parto,pai
132,parto,recém-nascido
133,parto,vagina
134,parto,árvore
135,parto,brasil
136,parto,placenta
137,parto,acidez
138,parto,hormônio
139,parto,útero
140,parto,dor
141,parto,médico
142,parto,cultura
143,parto,feto
144,parto,infecção
145,parto,inseminação artificial
146,partícula,verde
147,partícula,energia
148,selênio,fósforo
149,selênio,vida
150,selênio,rocha
151,selênio,sódio
152,selênio,água
153,selênio,mineral
154,selênio,cálcio
155,selênio,enxofre
156,selênio,alumínio
157,selênio,sólido
158,selênio,magnésio
159,selênio,dia
160,selênio,composto orgânico
161,selênio,cobalto
162,maneiro,terra
163,maneiro,papel
164,maneiro,planta
165,maneiro,água
166,maneiro,árvore
167,maneiro,energia
168,maneiro,fibra
169,maneiro,inseto
170,maneiro,nutriente
171,maneiro,polpa
172,maneiro,célula
173,maneiro,casco
174,maneiro,espécie
175,maneiro,solo
176,maneiro,semente
177,maneiro,orgânico
178,agricultura,soja
179,agricultura,cerco
180,agricultura,grão
181,agricultura,nitrogênio
182,agricultura,ambiente
183,agricultura,saúde
184,agricultura,adubação
185,agricultura,natureza
186,agricultura,semente
187,agricultura,solo
188,agricultura,água
189,agricultura,cevado
190,agricultura,microrganismo
191,agricultura,indústria
192,agricultura,madeira
193,agricultura,árvore
194,agricultura,fibra
195,agricultura,cultura
196,agricultura,clima
197,agricultura,resíduo
198,agricultura,energia
199,agricultura,arroz
200,agricultura,produtividade
201,agricultura,algodão
202,agricultura,milho
203,agricultura,eficiência
204,agricultura,alimento
205,agricultura,fazenda
206,agricultura,irrigação
207,agricultura,técnico
208,agricultura,transporte
209,agricultura,fertilidade
210,agricultura,medicamento
211,agricultura,produção
212,agricultura,sorgo
213,agricultura,genético
214,agricultura,homem
215,imunoglobulina,sangue
216,imunoglobulina,ureia
217,imunoglobulina,cavalo
218,imunoglobulina,proteína
219,imunoglobulina,genoma
220,imunoglobulina,inflamação
221,imunoglobulina,bactério
222,imunoglobulina,parasitismo
223,imunoglobulina,clonagem
224,imunoglobulina,gene
225,imunoglobulina,ph
226,imunoglobulina,solução
227,imunoglobulina,organismo
228,imunoglobulina,feto
229,imunoglobulina,infecção
230,desenvolver,terra
231,desenvolver,seco
232,desenvolver,umidade relativa
233,desenvolver,soja
234,desenvolver,adubo
235,desenvolver,cálcio
236,desenvolver,ph
237,desenvolver,cevado
238,desenvolver,sulfato
239,desenvolver,estresse térmico
240,desenvolver,geado
241,desenvolver,balanço energético
242,desenvolver,clima
243,desenvolver,vida
244,desenvolver,energia
245,desenvolver,cerrado
246,desenvolver,agricultura
247,desenvolver,consumo
248,desenvolver,milho
249,desenvolver,sorgo
250,desenvolver,estresse
251,deixar,brasil
252,infecção,doença
253,infecção,brasil
254,infecção,inflamação
255,infecção,antibiótico
256,infecção,bactério
257,infecção,organismo
258,infecção,microrganismo
259,sólido,volume
260,sólido,matéria
261,sólido,forma
262,sólido,líquido
263,sólido,água
264,sólido,partícula
265,papel,madeira
266,papel,qualidade
267,papel,rocha
268,papel,árvore
269,papel,fibra
270,papel,suporte
271,papel,folha
272,papel,osso
273,papel,algodão
274,desvantagen,califórnio
275,bom,cultura
276,eficiente,energia
277,eficiente,transporte
278,eficiente,saúde
279,eficiente,trabalho
280,eficiente,produção
281,eficiente,natureza
282,eficiente,cultura
283,eficiente,agricultura
284,eficiente,calor
285,eficiente,indústria
286,produçõe,custo
287,produçõe,eficiência
288,produçõe,necessidade
289,produçõe,transporte
290,produçõe,saúde
291,produçõe,produtividade
292,produçõe,serviço
293,produçõe,processo
294,produçõe,natureza
295,produçõe,produto
296,produçõe,cultura
297,produçõe,agricultura
298,produçõe,indústria
299,mercado,eficiência
300,mercado,transporte
301,mercado,saúde
302,mercado,produção
303,mercado,natureza
304,mercado,cultura
305,mercado,agricultura
306,mercado,mercado
307,mercado,indústria
308,produzido,brasil
309,produzido,açúcar
310,produzido,água
311,feito,banco
312,kg,litro
313,kg,tonelada
314,kg,peso
315,kg,tempo
316,kg,kg
317,kg,ano
318,kg,micro
319,kg,dia
320,kg,hectare
321,confinado,brasil
322,hormônio,sangue
323,hormônio,testículo
324,hormônio,placenta
325,hormônio,ovário
326,hormônio,hormônio
327,hormônio,célula
328,hormônio,reprodução
329,hormônio,homem
330,hormônio,organismo
331,início,banco
332,início,brasil
