index;from;to
1;"lactação";"vaca"
2;"subterrâneo";"água"
3;"água";"salinidade"
4;"água";"pico"
5;"vaca";"parto"
6;"gir";"raça"
7;"holandês";"raça"
8;"vaca";"médio"
9;"salobrar";"água"
10;"leiteiro";"vaca"
11;"doença";"animal"
12;"planta";"solo"
13;"líquido";"esterco"
14;"ordenha";"animal"
15;"tratamento";"sistema"
16;"lote";"animal"
17;"água";"temperatura"
18;"sistema";"bom"
19;"vaca";"concentrar"
20;"teto";"ordenha"
21;"zebuína";"raça"
22;"bom";"animais"
23;"volumoso";"concentrar"
24;"acasalamento";"animal"
25;"raça";"genético"
26;"solo";"cultura"
27;"puro";"raça"
28;"forragem";"grande"
29;"bom";"objetivo"
30;"bom";"garantir"
31;"vaca";"cobrir"
32;"antibiótico";"tratamento"
33;"térmico";"frasco"
34;"tratamento";"resíduo"
35;"parto";"corporal"
36;"mão";"obra"
37;"animal";"adulto"
38;"bom";"filho"
39;"samambaia";"tratamento"
40;"parto";"lactação"
41;"organismo";"animal"
42;"gordura";"proteína"
43;"fator";"água"
44;"brachiaria";"pastagem"
45;"ração";"bezerro"
46;"água";"semiáridar"
47;"vaca";"gordo"
48;"tóxico";"água"
49;"concentração";"água"
50;"vacina";"infecção"
51;"lote";"filho"
52;"leguminoso";"gramínea"
53;"rebanho";"lote"
54;"rebanho";"técnico"
55;"animal";"braquiária"
56;"grande";"animal"
57;"mamar";"bezerro"
58;"vaca";"magro"
59;"germinação";"semente"
60;"volumoso";"alimento"
61;"braquiária";"pastagem"
62;"taxa";"grande"
63;"água";"descer"
64;"animal";"base"
65;"grande";"instalação"
66;"gramínea";"pastagem"
67;"superpastejo";"planta"
68;"samambaia";"animal"
69;"ordenha";"água"
70;"grande";"líquido"
71;"frasco";"colher"
72;"animal";"sistema"
73;"genético";"grande"
74;"mosca";"espécie"
75;"cerca";"animal"
76;"termômetro";"temperatura"
77;"gestação";"vaca"
78;"água";"humano"
79;"água";"elétrico"
80;"alimento";"digerir"
81;"grande";"sol"
82;"maternidade";"vaca"
83;"água";"aquífero"
84;"grande";"rebanho"
85;"somático";"célula"
86;"obra";"vaca"
87;"excreção";"água"
88;"tropical";"gramínea"
89;"ordenha";"sistema"
90;"água";"mole"
91;"animal";"recurso"
92;"forrageiro";"espécie"
93;"teor";"água"
94;"vaca";"reter"
95;"chuva";"forrageira"
96;"pastejo";"animal"
97;"samambaia";"tristeza"
98;"caixa";"frasco"
99;"carrapaticida";"animal"
100;"samambaia";"organismo"
101;"gene";"chifre"
102;"estrôncio";"água"
103;"líquido";"tratamento"
104;"forrageiro";"elevar"
105;"animal";"perder"
106;"pastagem";"taxa"
107;"samambaia";"cerca"
108;"brachiaria";"brizanthar"
109;"balancear";"mineral"
110;"orgânico";"carbono"
111;"água";"dieta"
112;"pastagem";"samambaia"
113;"gene";"cromossomo"
114;"infestar";"samambaia"
115;"brachiaria";"decumbem"
116;"clínico";"tecido"
117;"raça";"cruzamento"
118;"lactação";"fase"
119;"água";"abundante"
120;"emagrecer";"vaca"
121;"diluir";"mineral"
122;"térmico";"estresse"
123;"samambaia";"feijão"
124;"concentrado";"mineral"
125;"bebedouro";"animal"
126;"bulbo";"temperatura"
127;"proteína";"digestão"
128;"água";"quente"
129;"antibiótico";"quarto"
130;"novilho";"vaca"
131;"animal";"espécie"
132;"bezerro";"fase"
133;"cultura";"sistema"
134;"orgânico";"resíduo"
135;"samambaia";"medida"
136;"medida";"medicamento"
137;"enzima";"proteína"
138;"bom";"médio"
139;"hectare";"piquete"
140;"morte";"animal"
141;"silo";"perda"
142;"sistema";"líquido"
143;"solo";"fértil"
144;"vaca";"animais"
145;"demorar";"parto"
146;"bom";"raça"
147;"genético";"material"
148;"água";"consumir"
149;"teto";"esperar"
150;"calagem";"solo"
151;"desmame";"bezerro"
152;"vacina";"aureu"
153;"mineral";"vitamina"
154;"cobertura";"solo"
155;"análise";"solo"
156;"fêmea";"genético"
157;"lote";"infertilidade"
158;"animal";"humano"
159;"gene";"genético"
160;"vaca";"instalação"
161;"lactação";"pastagem"
162;"associação";"animal"
163;"samambaia";"efeito"
164;"água";"limpo"
165;"corporal";"pequeno"
166;"frasco";"análise"
167;"esterco";"cama"
168;"cerca";"bezerro"
169;"teor";"seco"
170;"leguminoso";"espécie"
171;"forrageira";"cultura"
172;"doente";"animal"
173;"medicamento";"teto"
174;"rotativo";"pastejo"
175;"lote";"proporção"
176;"vaca";"lote"
177;"mestiço";"raça"
178;"laboratório";"térmico"
179;"mão";"vaca"
180;"fertilizante";"pastagem"
181;"raça";"guzer"
182;"sistema";"baixo"
183;"plântula";"semente"
184;"reprodutivo";"rebanho"
185;"invasor";"pastagem"
186;"animal";"biomedicina"
187;"gel";"rebanhar"
188;"vitro";"embrião"
189;"bezerro";"intestino"
190;"cocho";"cobrir"
191;"pequeno";"lote"
192;"sistema";"trator"
193;"orgânico";"material"
194;"grande";"lote"
195;"foliar";"pastagem"
196;"gir";"animal"
197;"água";"cloreto"
198;"rebanho";"pastagem"
199;"forrageira";"preparar"
200;"orgânico";"adubo"
201;"proteína";"pastagem"
202;"braquiária";"espécie"
203;"samambaia";"planta"
204;"sonda";"bezerro"
205;"ruminal";"líquido"
206;"praga";"cultura"
207;"ordenha";"laboratório"
208;"raça";"ossaturo"
209;"carrapaticida";"laboratório"
210;"samambaia";"afetar"
211;"infecção";"seco"
212;"transgênico";"genético"
213;"berne";"animal"
214;"samambaia";"solo"
215;"lote";"mau"
216;"preparar";"solo"
217;"pequeno";"partícula"
218;"mão";"lactação"
219;"seco";"água"
220;"água";"animal"
221;"leiteiro";"gir"
222;"planta";"genético"
223;"grande";"filho"
224;"animais";"pastagem"
225;"veranico";"solo"
226;"pasto";"sistema"
227;"grande";"abrigo"
228;"alta";"sistema"
229;"cruzamento";"bom"
230;"infecção";"rebanho"
231;"leguminoso";"macrocephala"
232;"mosca";"berne"
233;"samambaia";"irritação"
234;"adubar";"pastagem"
235;"silo";"excesso"
236;"quarto";"mamário"
237;"associação";"pastagem"
238;"incidência";"infecção"
239;"grande";"lactação"
240;"vaca";"ovariano"
241;"gel";"técnico"
242;"selênio";"mineral"
243;"cigarra";"ataque"
244;"butírico";"sabor"
245;"mineral";"dieta"
246;"manual";"cuidado"
247;"irrigação";"sistema"
248;"medida";"rebanhar"
249;"samambaia";"bom"
