main,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
sede,intestino,imunidade,equino,desidratação,ataque,lagoa,calor,bebedouro,estresse,seca,líquido,antibiótico,novilho,dieta,temperatura,bovino,seco,ordenha,planta,doença,rebanho,água,animais,bezerro,vaca,animal,,,,,,,,,,,,,,,,,
máximo,teor,população,medida,proteína,alimento,água,animais,grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zebuínas,puro,genético,mestiço,guzerá,cruzamento,gir,animal,vaca,raça,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bezerra,volumoso,ração,mestiço,holandês,desaleitamento,pastagem,instalação,imunoglobulina,cuidado,alimento,teto,pé,proteína,novilho,mãe,grande,lactação,desmamar,raça,animal,abrigo,doença,mamar,vaca,,,,,,,,,,,,,,,,,,,
decumbens,brachiaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
espécies,vegetal,superpastejo,proteína,plantio,organismo,doméstico,cromossomo,arbóreo,panicum,inseto,cultura,mosca,leguminoso,cigarra,tropical,braquiária,brachiaria,animais,pastejo,forrageiro,gramínea,planta,forragem,solo,animal,,,,,,,,,,,,,,,,,,
brizantha,brachiaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concentração,salinidade,magnésio,forrageira,silagem,forragem,alto,solo,proteína,nutriente,alimento,ração,mineral,volumoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leguminosa,árvore,tropical,planta,forragem,forrageira,arbusto,semente,espécie,solo,nitrogênio,pastagem,gramínea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minerais,óxido,suplemento,potássio,alimento,concentrado,parto,volumoso,magnésio,lactação,balancear,água,fósforo,vitamina,animal,dieta,vaca,,,,,,,,,,,,,,,,,,,,,,,,,,,
novilha,rebanho,gestação,pequeno,bezerro,animal,parto,grande,vaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animais,mestiço,pastagem,vaca,árvore,procedimento,piquete,parasita,medicamento,larva,eficiente,doméstico,consumir,concentrado,cerca,bebedouro,bactéria,embrião,doador,concentração,calor,ar,nutriente,morte,fêmea,capim,acasalamento,resíduo,proteína,parto,organismo,novilho,infecção,filho,tratamento,bovino,bezerro,adulto,mineral,temperatura,forragem,água,pasto,cruzamento
cobre,solo,mineral,vaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inseminador,artificial,vaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mamadeira,leite,ordenha,vaca,mamar,bezerro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parte,vaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mamária,tecido,pequeno,mãe,grande,antibiótico,medicamento,infecção,lactação,quarto,ordenha,glândula,vaca,mamar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sementes,semear,plântula,planta,leguminoso,invasor,aveia,bom,braquiária,semeadura,forrageira,pequeno,germinação,plantio,pastagem,solo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seca,instalação,forragem,esterco,água,pastagem,chuva,dieta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bovina,ovino,equino,rebanho,leiteiro,doença,animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desmama,precoce,vaca,bezerro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concentrado,tamponante,novilho,forragem,desmame,comer,suplementar,silagem,forrageira,cocho,nutriente,proteína,alimento,ração,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monta,animal,vaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordenhador,mão,lavar,cuidado,manual,bezerro,teto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
