Id,Label,timeset,indegree,outdegree,degree,modularity_class
sede,sede,,0,26,26,0
máximo,máximo,,0,8,8,6
zebuínas,zebuínas,,0,9,9,1
bezerra,bezerra,,0,24,24,10
decumbens,decumbens,,0,1,1,11
espécies,espécies,,0,25,25,11
brizantha,brizantha,,0,1,1,11
concentração,concentração,,4,13,17,4
leguminosa,leguminosa,,0,12,12,11
minerais,minerais,,1,16,17,4
novilha,novilha,,0,8,8,5
animais,animais,,7,43,50,0
cobre,cobre,,1,3,4,4
inseminador,inseminador,,0,2,2,1
mamadeira,mamadeira,,0,5,5,10
parte,parte,,0,1,1,1
mamária,mamária,,0,13,13,10
sementes,sementes,,0,15,15,9
seca,seca,,3,7,10,9
bovina,bovina,,0,6,6,6
desmama,desmama,,0,3,3,1
concentrado,concentrado,,3,13,16,4
monta,monta,,1,2,3,1
ordenhador,ordenhador,,0,6,6,10
nutrientes,nutrientes,,0,6,6,10
parasitária,parasitária,,0,3,3,3
obesa,obesa,,0,1,1,1
colhedeira,colhedeira,,0,2,2,9
fêmea,fêmea,,2,6,8,0
alta,alta,,1,5,6,10
perda,perda,,2,5,7,6
salobra,salobra,,0,1,1,4
obeso,obeso,,0,1,1,1
mocha,mocha,,0,1,1,8
aveia,aveia,,1,4,5,9
humidicola,humidicola,,0,1,1,11
aminoácido,aminoácido,,0,2,2,3
parto,parto,,13,3,16,5
instalações,instalações,,0,8,8,0
tratamento,tratamento,,5,9,14,10
microbiana,microbiana,,0,2,2,3
distúrbio,distúrbio,,0,1,1,1
ordenha,ordenha,,4,9,13,10
fibra,fibra,,1,3,4,6
espécie,espécie,,6,4,10,11
cruza,cruza,,0,2,2,1
gramínea,gramínea,,8,4,12,11
diluição,diluição,,0,1,1,4
rebanho,rebanho,,7,9,16,6
mutica,mutica,,0,1,1,11
desinfetantes,desinfetantes,,0,1,1,10
magra,magra,,0,3,3,1
desmame,desmame,,2,2,4,1
pele,pele,,0,3,3,1
homeopático,homeopático,,1,1,2,3
bernes,bernes,,0,2,2,11
gênero,gênero,,0,3,3,3
irrigação,irrigação,,1,5,6,9
pelagem,pelagem,,0,6,6,10
estimular,estimular,,0,2,2,0
medo,medo,,0,2,2,3
sofrimento,sofrimento,,0,2,2,3
trator,trator,,0,4,4,7
lagoa,lagoa,,2,2,4,7
isolamento,isolamento,,0,2,2,3
levedura,levedura,,0,3,3,0
contaminação,contaminação,,1,7,8,3
medir,medir,,0,1,1,1
zebuínos,zebuínos,,0,2,2,1
forragem,forragem,,10,1,11,11
desmamar,desmamar,,2,2,4,1
reação,reação,,1,1,2,3
procedimento,procedimento,,2,1,3,0
suplemento,suplemento,,1,3,4,0
aptidão,aptidão,,1,2,3,1
estimulante,estimulante,,0,2,2,0
capineira,capineira,,0,1,1,11
peladeira,peladeira,,0,2,2,1
zebuíno,zebuíno,,0,2,2,1
rasteira,rasteira,,0,2,2,11
demora,demora,,0,1,1,5
conservante,conservante,,0,2,2,4
cova,cova,,0,1,1,9
verão,verão,,0,2,2,9
mamário,mamário,,2,7,9,10
leguminoso,leguminoso,,3,7,10,11
emagrecimento,emagrecimento,,0,1,1,1
térmico,térmico,,3,2,5,9
semear,semear,,1,1,2,9
térmica,térmica,,0,2,2,10
variação,variação,,0,4,4,6
sugador,sugador,,0,1,1,11
cupim,cupim,,0,1,1,9
treinamento,treinamento,,0,1,1,1
infectocontagiosa,infectocontagiosa,,0,1,1,6
núcleo,núcleo,,0,1,1,0
alumínio,alumínio,,0,1,1,9
corporal,corporal,,4,2,6,1
químico,químico,,0,1,1,9
digestão,digestão,,1,3,4,6
fêmeo,fêmeo,,0,1,1,1
teor,teor,,2,4,6,6
cigarra,cigarra,,1,5,6,11
germinação,germinação,,2,4,6,9
solo,solo,,18,10,28,11
material,material,,2,3,5,7
adubar,adubar,,1,2,3,11
pelar,pelar,,0,1,1,1
descendente,descendente,,0,3,3,1
adubo,adubo,,0,6,6,11
animal,animal,,41,16,57,3
temperatura,temperatura,,6,5,11,0
planta,planta,,8,10,18,11
criopreservação,criopreservação,,0,1,1,0
colheita,colheita,,0,1,1,9
fertirrigação,fertirrigação,,0,2,2,9
sobreordenha,sobreordenha,,0,1,1,10
vedação,vedação,,0,1,1,7
glândula,glândula,,1,7,8,10
partícula,partícula,,1,2,3,10
reprodutivo,reprodutivo,,1,1,2,5
emagreceu,emagreceu,,0,1,1,1
recomendação,recomendação,,0,14,14,0
pasto,pasto,,4,7,11,0
tóxico,tóxico,,1,2,3,11
natalidade,natalidade,,1,1,2,5
heterozigoto,heterozigoto,,0,1,1,8
diarreia,diarreia,,0,3,3,3
acasalar,acasalar,,0,1,1,1
instalação,instalação,,6,8,14,10
ingrediente,ingrediente,,0,1,1,10
armazenagem,armazenagem,,0,2,2,4
abrasividade,abrasividade,,0,1,1,7
aeróbia,aeróbia,,0,1,1,9
integração,integração,,0,2,2,9
pastagem,pastagem,,27,6,33,9
magnésio,magnésio,,4,2,6,4
detenção,detenção,,0,1,1,9
misturador,misturador,,0,1,1,4
semeadura,semeadura,,3,2,5,9
homozigoto,homozigoto,,0,1,1,8
cetose,cetose,,0,1,1,1
eficiente,eficiente,,2,1,3,0
semeadeira,semeadeira,,0,1,1,9
acasalamento,acasalamento,,2,2,4,0
doador,doador,,1,1,2,0
tecidos,tecidos,,0,2,2,3
bicarbonato,bicarbonato,,3,1,4,4
montar,montar,,0,1,1,1
inimigo,inimigo,,0,1,1,11
aproveitamento,aproveitamento,,0,2,2,9
digestivo,digestivo,,0,1,1,9
descamação,descamação,,0,1,1,0
fertilização,fertilização,,0,2,2,0
cruzar,cruzar,,0,2,2,1
seco,seco,,7,2,9,0
silo,silo,,7,1,8,7
nitrogênio,nitrogênio,,2,2,4,11
pesagem,pesagem,,0,1,1,3
puro,puro,,6,1,7,1
"óxido",óxido,,1,2,3,4
oócito,oócito,,0,1,1,0
lactente,lactente,,0,1,1,0
intestino,intestino,,2,1,3,0
bezerro,bezerro,,22,10,32,0
parir,parir,,0,1,1,1
sanitário,sanitário,,0,1,1,1
reprodutor,reprodutor,,0,3,3,1
fermentação,fermentação,,0,1,1,7
abomaso,abomaso,,0,1,1,1
calagem,calagem,,1,1,2,9
piquete,piquete,,3,1,4,5
vegetal,vegetal,,1,1,2,11
desfolha,desfolha,,0,1,1,9
espermatozoide,espermatozoide,,0,1,1,6
tamponante,tamponante,,1,2,3,4
sexo,sexo,,0,1,1,1
fisiológico,fisiológico,,1,1,2,1
bula,bula,,0,1,1,3
absorvível,absorvível,,0,1,1,6
febre,febre,,3,2,5,3
biológico,biológico,,0,1,1,10
tolerância,tolerância,,0,3,3,10
rufião,rufião,,0,1,1,1
cérvix,cérvix,,0,1,1,5
manteiga,manteiga,,0,1,1,6
cirúrgico,cirúrgico,,0,2,2,1
prolapso,prolapso,,0,1,1,5
aditivo,aditivo,,0,1,1,4
caixa,caixa,,1,1,2,9
aureus,aureus,,0,3,3,2
híbrido,híbrido,,0,1,1,1
infestação,infestação,,1,1,2,3
armazenamento,armazenamento,,0,1,1,4
estresse,estresse,,1,5,6,0
estreptococo,estreptococo,,0,1,1,2
parteiro,parteiro,,0,2,2,5
gestante,gestante,,0,2,2,0
pivô,pivô,,0,1,1,4
anaeróbia,anaeróbia,,0,1,1,7
geada,geada,,0,1,1,11
pressãar,pressãar,,0,1,1,4
antibiose,antibiose,,0,1,1,11
pus,pus,,1,1,2,2
"ácido",ácido,,0,2,2,9
célula,célula,,1,6,7,6
guzerá,guzerá,,1,1,2,1
osso,osso,,0,1,1,4
pilha,pilha,,0,1,1,7
acetonemia,acetonemia,,0,1,1,1
arenoso,arenoso,,0,1,1,11
farinha,farinha,,0,1,1,4
pastejo,pastejo,,4,2,6,11
arbusto,arbusto,,1,1,2,11
bovino,bovino,,5,1,6,0
herbicida,herbicida,,0,1,1,9
uterino,uterino,,0,1,1,5
albumina,albumina,,0,3,3,6
dactylon,dactylon,,0,2,2,11
vermelhinho,vermelhinho,,0,2,2,3
meio,meio,,0,1,1,1
drenagem,drenagem,,0,1,1,10
carbonato,carbonato,,0,1,1,4
imunidade,imunidade,,1,1,2,0
resistente,resistente,,0,1,1,1
digerir,digerir,,1,2,3,6
mãe,mãe,,3,3,6,10
energético,energético,,0,1,1,6
baixo,baixo,,0,1,1,4
mosca,mosca,,4,3,7,11
perder,perder,,1,1,2,6
dor,dor,,0,1,1,3
agilidade,agilidade,,0,1,1,3
monórquidos,monórquidos,,0,1,1,1
mau,mau,,0,1,1,1
ataque,ataque,,2,1,3,11
silagem,silagem,,4,1,5,4
zootécnico,zootécnico,,0,1,1,1
microbiológico,microbiológico,,0,1,1,10
capim,capim,,2,1,3,11
praga,praga,,0,3,3,9
desinfetar,desinfetar,,0,1,1,10
desaleitar,desaleitar,,1,1,2,10
prenhe,prenhe,,0,1,1,1
forrageiro,forrageiro,,1,3,4,11
raspagem,raspagem,,0,1,1,7
compactação,compactação,,1,1,2,7
forrageira,forrageira,,9,6,15,9
abrigo,abrigo,,4,1,5,10
taxa,taxa,,0,6,6,5
ressemeadura,ressemeadura,,0,1,1,0
pressão,pressão,,0,1,1,4
decumbem,decumbem,,1,1,2,11
patógeno,patógeno,,0,1,1,11
pasteurizado,pasteurizado,,0,2,2,10
ventilação,ventilação,,0,1,1,3
solúvel,solúvel,,0,1,1,11
artificial,artificial,,1,1,2,1
sintoma,sintoma,,1,3,4,6
sistema,sistema,,12,3,15,9
berne,berne,,2,1,3,11
vacina,vacina,,0,4,4,2
panicum,panicum,,3,1,4,11
insumo,insumo,,0,1,1,0
dieta,dieta,,9,2,11,4
cultura,cultura,,6,3,9,9
entrada,entrada,,0,1,1,7
quente,quente,,0,2,2,9
captura,captura,,0,1,1,11
braquiária,braquiária,,3,2,5,11
seiva,seiva,,0,1,1,11
sanguíneo,sanguíneo,,1,1,2,3
protozoário,protozoário,,0,1,1,2
examinar,examinar,,0,1,1,3
fosfato,fosfato,,1,4,5,9
cisteína,cisteína,,0,1,1,4
via,via,,0,1,1,1
comercial,comercial,,0,1,1,3
cloro,cloro,,0,4,4,4
agudo,agudo,,0,1,1,2
fase,fase,,0,2,2,5
infecção,infecção,,7,8,15,2
infestações,infestações,,0,1,1,3
população,população,,2,2,4,3
lactose,lactose,,0,1,1,1
exigência,exigência,,1,1,2,6
"água",água,,21,15,36,4
ração,ração,,4,3,7,4
purpureum,purpureum,,0,2,2,11
lactação,lactação,,10,5,15,5
alimento,alimento,,6,11,17,6
estolonífera,estolonífera,,0,1,1,9
desaleitamento,desaleitamento,,1,1,2,10
genoma,genoma,,0,1,1,0
organismo,organismo,,3,3,6,3
modo,modo,,0,1,1,9
invasor,invasor,,2,1,3,9
terreno,terreno,,1,1,2,10
topografia,topografia,,0,2,2,10
vaca,vaca,,69,12,81,1
raça,raça,,12,7,19,1
doença,doença,,8,1,9,3
esterco,esterco,,4,4,8,7
lote,lote,,0,2,2,10
frasco,frasco,,1,3,4,9
mão,mão,,1,1,2,10
gordura,gordura,,8,1,9,6
fator,fator,,0,1,1,4
grande,grande,,13,3,16,10
semente,semente,,8,2,10,9
samambaia,samambaia,,3,8,11,11
colher,colher,,1,1,2,9
cerca,cerca,,3,1,4,5
gestação,gestação,,6,1,7,5
chuva,chuva,,1,2,3,9
carrapaticida,carrapaticida,,2,2,4,3
chifre,chifre,,1,2,3,8
brachiaria,brachiaria,,20,3,23,11
cromossomo,cromossomo,,1,1,2,8
cruzamento,cruzamento,,4,2,6,1
mineral,mineral,,8,6,14,4
proteína,proteína,,19,1,20,6
quarto,quarto,,3,1,4,10
novilho,novilho,,7,1,8,0
resíduo,resíduo,,3,1,4,11
medida,medida,,2,1,3,0
enzima,enzima,,0,1,1,6
hectare,hectare,,1,1,2,5
morte,morte,,1,1,2,3
genético,genético,,7,3,10,1
análise,análise,,1,1,2,9
limpo,limpo,,2,1,3,10
teto,teto,,8,2,10,10
guzer,guzer,,0,1,1,1
embrião,embrião,,7,1,8,0
gir,gir,,5,1,6,1
cloreto,cloreto,,0,1,1,4
líquido,líquido,,4,1,5,7
preparar,preparar,,0,1,1,11
pequeno,pequeno,,9,1,10,10
leiteiro,leiteiro,,3,3,6,6
sabor,sabor,,1,1,2,6
medicamento,medicamento,,12,2,14,3
