,Network,DecayRate,PreciseHits,Pct Hits,Window,HitsInWindow,PctHitsInWindow
0,MergedR,0.2,30,0.06,10,149,0.298
1,MergedR,0.2,30,0.06,15,188,0.376
2,MergedR,0.2,30,0.06,20,217,0.434
3,MergedR,0.3,28,0.056,10,128,0.256
4,MergedR,0.3,28,0.056,15,170,0.34
5,MergedR,0.3,28,0.056,20,201,0.402
6,MergedR,0.4,23,0.046,10,121,0.242
7,MergedR,0.4,23,0.046,15,155,0.31
8,MergedR,0.4,23,0.046,20,181,0.362
9,MergedR,0.5,20,0.04,10,112,0.224
10,MergedR,0.5,20,0.04,15,144,0.288
11,MergedR,0.5,20,0.04,20,160,0.32
0,FullyMergedN,0.2,30,0.06,10,159,0.318
1,FullyMergedN,0.2,30,0.06,15,195,0.39
2,FullyMergedN,0.2,30,0.06,20,214,0.428
3,FullyMergedN,0.3,27,0.054,10,140,0.28
4,FullyMergedN,0.3,27,0.054,15,174,0.348
5,FullyMergedN,0.3,27,0.054,20,200,0.4
6,FullyMergedN,0.4,27,0.054,10,125,0.25
7,FullyMergedN,0.4,27,0.054,15,161,0.322
8,FullyMergedN,0.4,27,0.054,20,185,0.37
9,FullyMergedN,0.5,23,0.046,10,114,0.228
10,FullyMergedN,0.5,23,0.046,15,148,0.296
11,FullyMergedN,0.5,23,0.046,20,168,0.336
0,FullyMergedR,0.2,30,0.06,10,153,0.306
1,FullyMergedR,0.2,30,0.06,15,192,0.384
2,FullyMergedR,0.2,30,0.06,20,213,0.426
3,FullyMergedR,0.3,27,0.054,10,137,0.274
4,FullyMergedR,0.3,27,0.054,15,172,0.344
5,FullyMergedR,0.3,27,0.054,20,197,0.394
6,FullyMergedR,0.4,27,0.054,10,123,0.246
7,FullyMergedR,0.4,27,0.054,15,158,0.316
8,FullyMergedR,0.4,27,0.054,20,177,0.354
9,FullyMergedR,0.5,23,0.046,10,113,0.226
10,FullyMergedR,0.5,23,0.046,15,144,0.288
11,FullyMergedR,0.5,23,0.046,20,164,0.328
0,FullyMergedNR,0.2,58,0.116,10,220,0.44
1,FullyMergedNR,0.2,58,0.116,15,255,0.51
2,FullyMergedNR,0.2,58,0.116,20,280,0.56
3,FullyMergedNR,0.3,54,0.108,10,219,0.438
4,FullyMergedNR,0.3,54,0.108,15,250,0.5
5,FullyMergedNR,0.3,54,0.108,20,274,0.548
6,FullyMergedNR,0.4,52,0.104,10,203,0.406
7,FullyMergedNR,0.4,52,0.104,15,244,0.488
8,FullyMergedNR,0.4,52,0.104,20,265,0.53
