,from,to
0,deixar,brasil
1,substância,mistura
2,substância,matéria
3,substância,química
4,substância,leite
5,substância,composição química
6,substância,água
7,gado,cavalo
8,sombrite,população
9,sombrite,brasil
10,filha,mãe
11,leiteiro,manteiga
12,leiteiro,ovo
13,leiteiro,gado
14,leiteiro,queijo
15,leiteiro,leite
16,agricultura,árvore
17,agricultura,cultura
18,agricultura,adubação
19,agricultura,irrigação
20,agricultura,sorgo
21,agricultura,genética
22,agricultura,resíduo
23,agricultura,ambiente
24,agricultura,eficiência
25,agricultura,medicamento
26,agricultura,energia
27,agricultura,microrganismo
28,agricultura,técnica
29,agricultura,cerca
30,agricultura,semente
31,agricultura,alimento
32,agricultura,fertilidade
33,agricultura,produtividade
34,agricultura,solo
35,agricultura,água
36,agricultura,milho
37,agricultura,fazenda
38,agricultura,nitrogênio
39,agricultura,produção
40,agricultura,fibra
41,agricultura,madeira
42,agricultura,indústria
43,agricultura,transporte
44,heterose,cavalo
45,heterose,genoma
46,heterose,melhoramento genético
47,heterose,clonagem
48,heterose,vaca
49,heterose,agricultura
50,heterose,folha
51,heterose,animai
52,heterose,fêmea
53,heterose,gene
54,heterose,semente
55,heterose,espécie
56,heterose,planta
57,heterose,elefante
58,heterose,genética
59,jovens,cultura
60,jovens,brasil
61,jovens,sexo
62,jovens,agricultura
63,ocorrem,ovo
64,ocorrem,brasil
65,andropogon,espécie
66,secas,temperatura
67,secas,irrigação
68,secas,ambiente
69,secas,semente
70,selênio,magnésio
71,selênio,fósforo
72,selênio,água
73,selênio,alumínio
74,selênio,cálcio
75,selênio,composto orgânico
76,selênio,mineral
77,selênio,sódio
78,selênio,sólido
79,selênio,vida
80,selênio,cobalto
81,mamários,cavalo
82,mamários,glândula
83,mamários,proteína
84,mamários,microrganismo
85,mamários,ovo
86,mamários,bactéria
87,mamários,hormônio
88,mamários,leite
89,mamários,espécie
90,imunoglobulina,cavalo
91,imunoglobulina,genoma
92,imunoglobulina,clonagem
93,imunoglobulina,inflamação
94,imunoglobulina,organismo
95,imunoglobulina,proteína
96,imunoglobulina,ph
97,imunoglobulina,bactéria
98,imunoglobulina,infecção
99,imunoglobulina,parasitismo
100,imunoglobulina,gene
101,imunoglobulina,ureia
102,imunoglobulina,sangue
103,concentrada,frequência
104,concentrada,padrão
105,concentrada,energia
106,concentrada,adição
107,inclinação,declive
108,nutritivo,alimentação
109,nutritivo,vitamina
110,nutritivo,energia
111,nutritivo,proteína
112,nutritivo,brasil
113,nutritivo,gordura
114,nutritivo,ração
115,vermis,equilíbrio
116,chuvas,árvore
117,chuvas,volume
118,chuvas,óleo
119,chuvas,agricultura
120,chuvas,cultura
121,chuvas,brasil
122,chuvas,água
123,chuvas,bactéria
124,chuvas,seca
125,chuvas,superfície
126,chuvas,inverno
127,chuvas,sólido
128,chuvas,líquido
129,chuvas,planta
130,chuvas,solo
131,brizantha,gramínea
132,brizantha,bactéria
133,mantença,população
134,mantença,brasil
135,mantença,gado
136,mantença,madeira
137,mantença,inverno
138,mantença,sal
139,desenvolvam,mestiço
140,desenvolvam,brasil
141,mão,vagina
142,líquido,temperatura
143,líquido,volume
144,líquido,partícula
145,líquido,matéria
146,líquido,sólido
147,líquido,água
148,gêmeo,gestação
149,gêmeo,genoma
150,gêmeo,placenta
151,sal,alimentação
152,sal,fosfato
153,sal,magnésio
154,sal,ph
155,sal,alumínio
156,sal,cálcio
157,sal,composto orgânico
158,sal,mistura
159,sal,sólido
160,sal,água
161,parto,árvore
162,parto,acidez
163,parto,médico
164,parto,cultura
165,parto,lactação
166,parto,brasil
167,parto,dor
168,parto,infecção
169,parto,útero
170,parto,placenta
171,parto,vagina
172,parto,hormônio
173,parto,cérvix
174,parto,inseminação artificial
175,corporal,dano
176,corporal,aborto
177,corporal,dor
178,corporal,útero
179,corporal,enfermidade
180,corporal,parto
181,maneira,árvore
182,maneira,orgânico
183,maneira,papel
184,maneira,energia
185,maneira,célula
186,maneira,inseto
187,maneira,água
188,maneira,nutriente
189,maneira,polpa
190,maneira,fibra
191,maneira,espécie
192,maneira,planta
193,maneira,solo
194,maneira,semente
195,cmt,dna
196,cmt,genética
197,espera,brasil
198,processo,manutenção
199,processo,insumo
200,processo,controle
201,processo,planejamento
202,bovino,pasto
203,bovino,carne
204,bovino,chifre
205,bovino,animal
206,bovino,leite
207,bovino,zebu
208,infecção,inflamação
209,infecção,organismo
210,infecção,brasil
211,infecção,microrganismo
212,infecção,bactéria
213,infecção,antibiótico
214,infecção,doença
215,atendendo,população
216,atendendo,açúcar
217,atendendo,energia
218,atendendo,agricultura
219,atendendo,média
220,atendendo,carne
221,atendendo,cultura
222,atendendo,contagem
223,atendendo,brasil
224,atendendo,mestiço
225,atendendo,serviço
226,atendendo,madeira
227,atendendo,paí
228,atendendo,clima temperado
229,atendendo,região
230,atendendo,cerrado
231,aproveitamento,arquitetura
232,importantes,umidade relativa
233,importantes,população
234,importantes,banco
235,importantes,europeu
236,importantes,açúcar
237,importantes,área
238,importantes,sal
239,importantes,contagem
240,importantes,brasil
241,importantes,retirada
242,importantes,indústria
243,importantes,inverno
244,importantes,transporte
245,importantes,arquitetura
246,feita,banco
247,sólido,volume
248,sólido,forma
249,sólido,partícula
250,sólido,matéria
251,sólido,líquido
252,sólido,água
253,mercado,eficiência
254,mercado,mercado
255,mercado,agricultura
256,mercado,cultura
257,mercado,produção
258,mercado,indústria
259,mercado,transporte
260,cavalos,agricultura
261,cavalos,brasil
262,cavalos,animal
263,cavalos,raça
264,cavalos,genética
265,cavalos,inverno
266,cavalos,transporte
267,cavalos,espécie
268,kg,kg
269,kg,peso
270,início,brasil
271,currais,curral
272,currais,população
273,currais,agricultura
274,currais,touro
275,currais,brasil
276,currais,bovino
277,currais,milho
278,currais,arquitetura
279,bons,cultura
280,papel,árvore
281,papel,qualidade
282,papel,fibra
283,papel,madeira
284,papel,suporte
285,papel,folha
286,comportamento,glândula
287,comportamento,cultura
288,comportamento,inseto
289,comportamento,animai
290,comportamento,clínica
291,comportamento,gene
292,comportamento,reação
293,comportamento,espécie
294,comportamento,ambiente
295,touro,brasil
296,vaca,cavalo
297,vaca,bovino
298,vaca,espécie
299,vaca,inseminação artificial
300,vaca,melhoramento genético
301,vaca,macho
302,vaca,carne
303,vaca,animal
304,vaca,bezerro
305,vaca,gir
306,vaca,útero
307,vaca,fêmea
308,vaca,leite
309,vaca,radiação solar
310,vaca,guzerá
311,vaca,reprodução
312,vaca,espermatozoide
313,vaca,sêman
314,vaca,brasil
315,vaca,chifre
316,vaca,calor
317,vaca,produtividade
318,vaca,elefante
319,vaca,rúman
320,vaca,zebu
321,eficiente,energia
322,eficiente,agricultura
323,eficiente,cultura
324,eficiente,transporte
325,eficiente,produção
326,eficiente,indústria
327,eficiente,calor
328,confinada,brasil
329,produzida,brasil
330,produzida,açúcar
331,produzida,água
332,vacas,cavalo
333,vacas,bovino
334,vacas,espécie
335,vacas,inseminação artificial
336,vacas,melhoramento genético
337,vacas,macho
338,vacas,carne
339,vacas,animal
340,vacas,bezerro
341,vacas,gir
342,vacas,útero
343,vacas,fêmea
344,vacas,leite
345,vacas,radiação solar
346,vacas,guzerá
347,vacas,reprodução
348,vacas,espermatozoide
349,vacas,sêman
350,vacas,brasil
351,vacas,chifre
352,vacas,calor
353,vacas,produtividade
354,vacas,elefante
355,vacas,rúman
356,vacas,zebu
357,evitar,tanzânia
358,evitar,espécie
359,evitar,brasil
360,agentes,química
361,agentes,vida
362,perder,brasil
363,hormônio,reprodução
364,hormônio,organismo
365,hormônio,célula
366,hormônio,hormônio
367,hormônio,sangue
368,hormônio,ovário
369,hormônio,placenta
370,contaminem,área
371,parir,literatura
372,parir,área
373,parir,brasil
374,parir,calcário
375,parir,indústria
376,produçõe,eficiência
377,produçõe,agricultura
378,produçõe,cultura
379,produçõe,necessidade
380,produçõe,custo
381,produçõe,produto
382,produçõe,processo
383,produçõe,indústria
384,produçõe,serviço
385,produçõe,transporte
386,produçõe,produtividade
387,utilizá,consumo
388,utilizá,máquina
389,utilizá,agricultura
390,utilizá,química
391,utilizá,indústria
392,utilizá,arquitetura
393,etéreo,brasil
394,ha,área
395,cana,forrageira
396,cana,europeu
397,cana,açúcar
398,cana,fósforo
399,cana,brasil
400,cana,espécie
401,cana,inflorescência
402,cana,sorgo
403,cana,gramínea
404,cana,milho
405,cana,leguminosa
406,cana,clima temperado
407,cana,adubo
408,cana,cultivar
409,parasita,alimentação
410,parasita,reprodução
411,parasita,organismo
412,parasita,ovo
413,parasita,bactéria
414,parasita,infecção
415,parasita,parasitismo
416,parasita,doença
417,parasita,espécie
418,finalidade,espécie
419,finalidade,padrão
420,finalidade,sistema
421,lotação,cavalo
422,lotação,brasil
423,lotação,transporte
424,lotação,paí
425,lotação,taxon
426,lotação,vida
427,lotação,água
428,sangue,inseto
429,sangue,nutriente
430,sangue,antibiótico
431,sangue,doença
432,sangue,hormônio
433,sangue,vida
434,genoma,organismo
435,genoma,célula
436,genoma,bactéria
437,genoma,dna
438,genoma,gene
439,genoma,genética
440,genoma,espécie
441,pasto,agricultura
442,pasto,irrigação
443,pasto,milho
444,pasto,fazenda
445,pasto,ração
446,incorporado,literatura
447,incorporado,brasil
448,econômica,consumo
449,econômica,banco
450,econômica,dado
451,econômica,mercado
452,econômica,agricultura
453,econômica,cultura
454,econômica,longo prazo
455,econômica,custo
456,econômica,produção
457,econômica,declive
458,econômica,paí
459,vivo,brasil
460,vivo,piquete
461,contagem,população
462,contagem,brasil
463,purpureum,pennisetum
464,purpureum,espécie
465,purpureum,brasil
466,seco,brasil
467,canaleta,árvore
468,canaleta,alimentação
469,canaleta,arbusto
470,canaleta,corpo
471,canaleta,inverno
472,canaleta,intestino delgado
473,canaleta,paí
474,canaleta,espécie
475,canaleta,planta
476,canaleta,folha
477,canaleta,superfície
478,canaleta,vida
479,canaleta,europeu
480,canaleta,macho
481,canaleta,carne
482,canaleta,mãe
483,canaleta,descanso
484,canaleta,animal
485,canaleta,fêmea
486,canaleta,lavoura
487,canaleta,alimento
488,canaleta,brasil
489,canaleta,capim
490,canaleta,comportamento
491,canaleta,pastagem
492,canaleta,fertilidade
493,canaleta,peso
494,canaleta,solo
495,canaleta,mão
496,canaleta,idade
497,canaleta,agricultura
498,canaleta,gestação
499,canaleta,doença
500,canaleta,madeira
501,canaleta,nascimento
502,ensilagem,alimentação
503,ensilagem,alfafa
504,ensilagem,sorgo
505,ensilagem,gramínea
506,ensilagem,intoxicação
507,ensilagem,forragem
