,Network,DecayRate,PreciseHits,Pct Hits,Window,HitsInWindow,PctHitsInWindow
0,MergedR,0.2,30,0.06,10,158,0.316
1,MergedR,0.2,30,0.06,15,199,0.398
2,MergedR,0.2,30,0.06,20,226,0.452
3,MergedR,0.3,28,0.056,10,133,0.266
4,MergedR,0.3,28,0.056,15,180,0.36
5,MergedR,0.3,28,0.056,20,208,0.416
6,MergedR,0.4,23,0.046,10,123,0.246
7,MergedR,0.4,23,0.046,15,161,0.322
8,MergedR,0.4,23,0.046,20,191,0.382
9,MergedR,0.5,19,0.038,10,113,0.226
10,MergedR,0.5,19,0.038,15,148,0.296
11,MergedR,0.5,19,0.038,20,167,0.334
12,Wikipedia,0.2,38,0.076,10,185,0.37
13,Wikipedia,0.2,38,0.076,15,226,0.452
14,Wikipedia,0.2,38,0.076,20,245,0.49
15,Wikipedia,0.3,33,0.066,10,172,0.344
16,Wikipedia,0.3,33,0.066,15,208,0.416
17,Wikipedia,0.3,33,0.066,20,235,0.47
18,Wikipedia,0.4,25,0.05,10,152,0.304
19,Wikipedia,0.4,25,0.05,15,192,0.384
20,Wikipedia,0.4,25,0.05,20,215,0.43
21,Wikipedia,0.5,18,0.036,10,135,0.27
22,Wikipedia,0.5,18,0.036,15,178,0.356
23,Wikipedia,0.5,18,0.036,20,203,0.406
24,MergedNR,0.2,57,0.114,10,211,0.422
25,MergedNR,0.2,57,0.114,15,257,0.514
26,MergedNR,0.2,57,0.114,20,277,0.554
27,MergedNR,0.3,54,0.108,10,208,0.416
28,MergedNR,0.3,54,0.108,15,248,0.496
29,MergedNR,0.3,54,0.108,20,273,0.546
30,MergedNR,0.4,51,0.102,10,203,0.406
31,MergedNR,0.4,51,0.102,15,235,0.47
32,MergedNR,0.4,51,0.102,20,260,0.52
33,MergedNR,0.5,53,0.106,10,198,0.396
34,MergedNR,0.5,53,0.106,15,228,0.456
35,MergedNR,0.5,53,0.106,20,248,0.496
36,MilkoN,0.2,15,0.03,10,102,0.204
37,MilkoN,0.2,15,0.03,15,124,0.248
38,MilkoN,0.2,15,0.03,20,143,0.286
39,MilkoN,0.3,15,0.03,10,101,0.202
40,MilkoN,0.3,15,0.03,15,125,0.25
41,MilkoN,0.3,15,0.03,20,141,0.282
42,MilkoN,0.4,15,0.03,10,100,0.2
43,MilkoN,0.4,15,0.03,15,122,0.244
44,MilkoN,0.4,15,0.03,20,139,0.278
45,MilkoN,0.5,15,0.03,10,99,0.198
46,MilkoN,0.5,15,0.03,15,119,0.238
47,MilkoN,0.5,15,0.03,20,138,0.276
48,WikipediaN,0.2,31,0.062,10,165,0.33
49,WikipediaN,0.2,31,0.062,15,199,0.398
50,WikipediaN,0.2,31,0.062,20,236,0.472
51,WikipediaN,0.3,30,0.06,10,139,0.278
52,WikipediaN,0.3,30,0.06,15,183,0.366
53,WikipediaN,0.3,30,0.06,20,221,0.442
54,WikipediaN,0.4,28,0.056,10,126,0.252
55,WikipediaN,0.4,28,0.056,15,160,0.32
56,WikipediaN,0.4,28,0.056,20,202,0.404
57,WikipediaN,0.5,27,0.054,10,114,0.228
58,WikipediaN,0.5,27,0.054,15,147,0.294
59,WikipediaN,0.5,27,0.054,20,184,0.368
60,MilkoNR,0.2,23,0.046,10,113,0.226
61,MilkoNR,0.2,23,0.046,15,134,0.268
62,MilkoNR,0.2,23,0.046,20,153,0.306
63,MilkoNR,0.3,23,0.046,10,116,0.232
64,MilkoNR,0.3,23,0.046,15,135,0.27
65,MilkoNR,0.3,23,0.046,20,152,0.304
66,MilkoNR,0.4,22,0.044,10,113,0.226
67,MilkoNR,0.4,22,0.044,15,135,0.27
68,MilkoNR,0.4,22,0.044,20,152,0.304
69,MilkoNR,0.5,21,0.042,10,114,0.228
70,MilkoNR,0.5,21,0.042,15,135,0.27
71,MilkoNR,0.5,21,0.042,20,150,0.3
72,MergedN,0.2,30,0.06,10,159,0.318
73,MergedN,0.2,30,0.06,15,202,0.404
74,MergedN,0.2,30,0.06,20,229,0.458
75,MergedN,0.3,28,0.056,10,140,0.28
76,MergedN,0.3,28,0.056,15,186,0.372
77,MergedN,0.3,28,0.056,20,212,0.424
78,MergedN,0.4,23,0.046,10,126,0.252
79,MergedN,0.4,23,0.046,15,163,0.326
80,MergedN,0.4,23,0.046,20,194,0.388
81,MergedN,0.5,19,0.038,10,114,0.228
82,MergedN,0.5,19,0.038,15,151,0.302
83,MergedN,0.5,19,0.038,20,173,0.346
84,WikipediaNR,0.2,42,0.084,10,211,0.422
85,WikipediaNR,0.2,42,0.084,15,238,0.476
86,WikipediaNR,0.2,42,0.084,20,269,0.538
87,WikipediaNR,0.3,38,0.076,10,206,0.412
88,WikipediaNR,0.3,38,0.076,15,234,0.468
89,WikipediaNR,0.3,38,0.076,20,266,0.532
90,WikipediaNR,0.4,39,0.078,10,201,0.402
91,WikipediaNR,0.4,39,0.078,15,229,0.458
92,WikipediaNR,0.4,39,0.078,20,259,0.518
93,WikipediaNR,0.5,38,0.076,10,189,0.378
94,WikipediaNR,0.5,38,0.076,15,215,0.43
95,WikipediaNR,0.5,38,0.076,20,251,0.502
96,WikipediaR,0.2,31,0.062,10,157,0.314
97,WikipediaR,0.2,31,0.062,15,196,0.392
98,WikipediaR,0.2,31,0.062,20,231,0.462
99,WikipediaR,0.3,29,0.058,10,138,0.276
100,WikipediaR,0.3,29,0.058,15,180,0.36
101,WikipediaR,0.3,29,0.058,20,216,0.432
102,WikipediaR,0.4,27,0.054,10,122,0.244
103,WikipediaR,0.4,27,0.054,15,154,0.308
104,WikipediaR,0.4,27,0.054,20,198,0.396
105,WikipediaR,0.5,25,0.05,10,112,0.224
106,WikipediaR,0.5,25,0.05,15,143,0.286
107,WikipediaR,0.5,25,0.05,20,176,0.352
108,Milko,0.2,13,0.026,10,95,0.19
109,Milko,0.2,13,0.026,15,119,0.238
110,Milko,0.2,13,0.026,20,138,0.276
111,Milko,0.3,11,0.022,10,94,0.188
112,Milko,0.3,11,0.022,15,120,0.24
113,Milko,0.3,11,0.022,20,139,0.278
114,Milko,0.4,11,0.022,10,94,0.188
115,Milko,0.4,11,0.022,15,119,0.238
116,Milko,0.4,11,0.022,20,139,0.278
117,Milko,0.5,11,0.022,10,94,0.188
118,Milko,0.5,11,0.022,15,114,0.228
119,Milko,0.5,11,0.022,20,136,0.272
120,MilkoR,0.2,15,0.03,10,100,0.2
121,MilkoR,0.2,15,0.03,15,128,0.256
122,MilkoR,0.2,15,0.03,20,141,0.282
123,MilkoR,0.3,15,0.03,10,99,0.198
124,MilkoR,0.3,15,0.03,15,128,0.256
125,MilkoR,0.3,15,0.03,20,140,0.28
126,MilkoR,0.4,15,0.03,10,99,0.198
127,MilkoR,0.4,15,0.03,15,127,0.254
128,MilkoR,0.4,15,0.03,20,140,0.28
129,MilkoR,0.5,15,0.03,10,99,0.198
130,MilkoR,0.5,15,0.03,15,122,0.244
131,MilkoR,0.5,15,0.03,20,140,0.28
132,Merged,0.2,38,0.076,10,173,0.346
133,Merged,0.2,38,0.076,15,217,0.434
134,Merged,0.2,38,0.076,20,245,0.49
135,Merged,0.3,34,0.068,10,162,0.324
136,Merged,0.3,34,0.068,15,203,0.406
137,Merged,0.3,34,0.068,20,231,0.462
138,Merged,0.4,26,0.052,10,144,0.288
139,Merged,0.4,26,0.052,15,185,0.37
140,Merged,0.4,26,0.052,20,212,0.424
141,Merged,0.5,21,0.042,10,132,0.264
142,Merged,0.5,21,0.042,15,167,0.334
143,Merged,0.5,21,0.042,20,199,0.398
