source,target
rançoso,bacteriano
rançoso,contaminação
rançoso,desinfetar
rançoso,álcool
rançoso,contagioso
rançoso,dose
rançoso,sadio
rançoso,patógeno
rançoso,sabor
rançoso,cordoalha
operar,eimeriose
operar,agressivo
operar,evaporativo
operar,eletroejaculação
operar,micronutriente
operar,eucalipto
operar,delgar
operar,lodo
operar,cobalto
operar,tanques
reprodutor,resistente
reprodutor,heterozigoto
reprodutor,ossaturo
reprodutor,orientar
reprodutor,gene
reprodutor,descendente
reprodutor,monta
reprodutor,objetivo
reprodutor,animais
reprodutor,libido
botijo,salmonelose
botijo,fluido
botijo,tanques
botijo,órgão
botijo,efluente
botijo,subtropical
botijo,quente
botijo,baia
botijo,moer
botijo,térmico
gramíneo,inverno
gramíneo,gênero
gramíneo,cultura
gramíneo,aveia
gramíneo,avear
gramíneo,ressemeadura
gramíneo,irrigação
gramíneo,adubar
gramíneo,luminosidade
gramíneo,chuva
fácil,carga
fácil,mal
fácil,dormência
fácil,intoxicação
fácil,colher
fácil,pus
fácil,palatável
fácil,vegetação
fácil,químico
fácil,bicheira
alvenaria,compostagem
alvenaria,anaeróbio
alvenaria,biossólido
alvenaria,cauda
alvenaria,durabilidade
alvenaria,evaporação
alvenaria,máximo
alvenaria,carrapaticidar
alvenaria,parâmetro
alvenaria,componente
confinar,armazenamento
confinar,sol
confinar,tratamento
confinar,lesão
confinar,agudo
confinar,ovário
confinar,oxigênio
confinar,pequeno
confinar,entrar
confinar,hormônio
mamadeira,obra
mamadeira,mão
mamadeira,infecção
mamadeira,pescoço
mamadeira,prostaglandina
mamadeira,secar
mamadeira,teto
mamadeira,taxa
mamadeira,quarto
mamadeira,ordenhador
herbicida,estação
herbicida,adubar
herbicida,gramíneo
herbicida,inverno
herbicida,associação
herbicida,tolerante
herbicida,gênero
herbicida,aveia
herbicida,irrigação
herbicida,macrocephala
transmissão,ferramenta
transmissão,fita
transmissão,sadio
transmissão,lento
transmissão,via
transmissão,infeccioso
transmissão,modo
transmissão,nebulização
transmissão,morcego
transmissão,grande
gir,guzerá
gir,genético
gir,aptidão
gir,zebuína
gir,progênie
gir,puro
gir,zebuíno
gir,heterose
gir,mestiço
gir,cruza
terraço,insolação
terraço,densidade
terraço,humidicola
terraço,caule
terraço,elevar
terraço,decumbens
terraço,terreno
terraço,radicular
terraço,queimada
terraço,efeito
sugador,palatabilidade
sugador,praga
sugador,reflexo
sugador,ataque
sugador,panicum
sugador,cigarra
sugador,superpastejo
sugador,terreno
sugador,chorume
sugador,nlemfuensis
entrar,fitoterapia
entrar,suficiente
entrar,tratamento
entrar,enzima
entrar,risco
entrar,tomar
entrar,iodofórmio
entrar,proporção
entrar,tecido
entrar,médico
via,encharcamento
via,lento
via,bacteriano
via,contaminação
via,sadio
via,morcego
via,transmissão
via,odor
via,recurso
via,nebulização
espuma,ovino
espuma,série
espuma,bovina
espuma,flúor
espuma,eficiente
espuma,ciclo
espuma,coccidiose
espuma,ovo
espuma,isolamento
espuma,queimar
forragem,rotativo
forragem,maculoso
forragem,samambaia
forragem,hectare
forragem,plantar
forragem,luminosidade
forragem,gênerar
forragem,chuva
forragem,exigência
forragem,capim
densidade,insolação
densidade,floração
densidade,copa
densidade,caule
densidade,árvore
densidade,infestação
densidade,inimigo
densidade,tóxico
densidade,humidicola
densidade,coccidiose
fluido,cirurgia
fluido,bebedouro
fluido,pilha
fluido,andrológico
fluido,inflamação
fluido,baia
fluido,efluente
fluido,estábulo
fluido,botijo
fluido,quente
progênie,genético
progênie,guzer
progênie,puro
