,Term1,Term2
0,cio,atraso
1,cio,parto
2,cio,identificação
3,cio,ordenha
4,cio,inseminação
5,cio,condição
6,cio,gestante
7,cio,problema
8,cio,serviço
9,cio,aleitamento
10,ureia,pb
11,ureia,cana
12,ureia,açúcar
13,ureia,volumoso
14,ureia,ndt
15,ureia,matéria
16,ureia,mistura
17,ureia,teor
18,ureia,adicionar
19,ureia,seca
20,cana,açúcar
21,cana,ureia
22,cana,pb
23,cana,teor
24,cana,volumoso
25,cana,ndt
26,cana,matéria
27,cana,seca
28,cana,adicionar
29,cana,bruta
30,açúcar,cana
31,açúcar,ureia
32,açúcar,pb
33,açúcar,teor
34,açúcar,ndt
35,açúcar,matéria
36,açúcar,volumoso
37,açúcar,bruta
38,açúcar,adicionar
39,açúcar,seca
40,inseminação,artificial
41,inseminação,ia
42,inseminação,cobrir
43,inseminação,aleitamento
44,inseminação,nascimento
45,inseminação,sêman
46,inseminação,exame
47,inseminação,gestante
48,inseminação,cria
49,inseminação,lactaçõe
50,custo,dp
51,custo,com
52,custo,confiabilidade
53,custo,puros
54,custo,transferência
55,custo,tricross
56,custo,geração
57,custo,carne
58,custo,informaçõe
59,custo,melhores
60,kg,ração
61,kg,ganho
62,kg,concentrada
63,kg,legislação
64,kg,diário
65,kg,médio
66,kg,vivo
67,kg,peletizado
68,kg,ndt
69,kg,concentrado
70,mosca,êxito
71,mosca,térmico
72,mosca,lagoa
73,mosca,retirada
74,mosca,droga
75,mosca,práticos
76,mosca,quentes
77,mosca,combate
78,mosca,realizado
79,mosca,tanque
80,água,cálcio
81,água,consumo
82,água,sódio
83,água,magnésio
84,água,minerais
85,água,fósforo
86,água,energia
87,água,na
88,água,rúman
89,água,dieta
90,silo,chuvas
91,silo,nutriente
92,silo,química
93,silo,alumínio
94,silo,nitrogênio
95,silo,sorgo
96,silo,distribuição
97,silo,ensilagem
98,silo,nutritivo
99,silo,milho
100,capineira,adubação
101,capineira,lavoura
102,capineira,corte
103,capineira,baixada
104,capineira,crescimento
105,capineira,nutritivo
106,capineira,anuais
107,capineira,distribuição
108,capineira,formação
109,capineira,altura
110,mineral,sal
111,mineral,mistura
112,mineral,dieta
113,mineral,consumo
114,mineral,na
115,mineral,base
116,mineral,sódio
117,mineral,quantidade
118,mineral,cálcio
119,mineral,fornecer
120,ganho,ração
121,ganho,kg
122,ganho,médio
123,ganho,diário
124,ganho,concentrada
125,ganho,vivo
126,ganho,legislação
127,ganho,balancear
128,ganho,onerosos
129,ganho,composição
130,l,de
131,l,gordura
132,l,alta
133,l,sólido
134,l,acima
135,l,legislação
136,l,bruta
137,l,crioscopia
138,l,nutrientes
139,l,concentração
140,silo,chuvas
141,silo,nutriente
142,silo,química
143,silo,alumínio
144,silo,nitrogênio
145,silo,sorgo
146,silo,distribuição
147,silo,ensilagem
148,silo,nutritivo
149,silo,milho
150,rufião,outro
151,rufião,horário
152,rufião,demora
153,rufião,facilitar
154,rufião,médico
155,rufião,orufião
156,rufião,aparecimento
157,rufião,para
158,rufião,alimentada
159,rufião,usado
160,dna,geneticamente
161,dna,clonagem
162,dna,bemestar
163,dna,princípios
164,dna,produzir
165,dna,humanos
166,dna,carne
167,dna,genoma
168,dna,somatotropina
169,dna,variar
170,carrapaticida,microrganismo
171,carrapaticida,contato
172,carrapaticida,tomada
173,carrapaticida,cmt
174,carrapaticida,enfermidade
175,carrapaticida,tratar
176,carrapaticida,causador
177,carrapaticida,decisõe
178,carrapaticida,equipamento
179,carrapaticida,homem
180,gêmeo,moet
181,gêmeo,las
182,gêmeo,técnica
183,gêmeo,obter
184,gêmeo,criar
185,gêmeo,individual
186,gêmeo,meta
187,gêmeo,espera
188,gêmeo,assim
189,gêmeo,melhoria
190,carrapatos,transmitir
191,carrapatos,premunição
192,carrapatos,gratuitamente
193,carrapatos,corpo
194,carrapatos,colônia
195,carrapatos,enfermidade
196,carrapatos,inflamação
197,carrapatos,bovina
198,carrapatos,agentes
199,carrapatos,embriões
200,alfafa,planta
201,alfafa,cultura
202,alfafa,anual
203,alfafa,azevém
204,alfafa,região
205,alfafa,aveia
206,alfafa,fertilidade
207,alfafa,irrigação
208,alfafa,forrageira
209,alfafa,fenação
210,calcário,fechado
211,calcário,consumida
212,calcário,salientar
213,calcário,intoxicação
214,calcário,elemento
215,calcário,porém
216,calcário,composto
217,calcário,ph
218,calcário,engloba
219,calcário,fosfato
220,clonagem,geneticamente
221,clonagem,devido
222,clonagem,resultados
223,clonagem,carne
224,clonagem,indústria
225,clonagem,diversas
226,clonagem,recomendaçõe
227,clonagem,somatotropina
228,clonagem,desvantagen
229,clonagem,econômica
230,cio,atraso
231,cio,parto
232,cio,identificação
233,cio,ordenha
234,cio,inseminação
235,cio,condição
236,cio,gestante
237,cio,problema
238,cio,serviço
239,cio,aleitamento
240,silagem,sorgo
241,silagem,verde
242,silagem,nutriente
243,silagem,ensilagem
244,silagem,milho
245,silagem,fermentação
246,silagem,teor
247,silagem,silo
248,silagem,tonelada
249,silagem,digestibilidade
250,colostro,revacinar
251,colostro,primeiras
252,colostro,vaca
253,colostro,normal
254,colostro,gestante
255,colostro,isso
256,colostro,gestação
257,colostro,corporal
258,colostro,parto
259,colostro,magra
260,dep,pta
261,dep,pc
262,dep,estimado
263,dep,produto
264,dep,cruza
265,dep,núcleo
266,dep,geração
267,dep,leiteira
268,dep,tricross
269,dep,mãe
270,alfafa,planta
271,alfafa,cultura
272,alfafa,anual
273,alfafa,azevém
274,alfafa,região
275,alfafa,aveia
276,alfafa,fertilidade
277,alfafa,irrigação
278,alfafa,forrageira
279,alfafa,fenação
280,tóxicas,arbóreas
281,tóxicas,submetida
282,tóxicas,compactação
283,tóxicas,sombreamento
284,tóxicas,sombra
285,tóxicas,árvore
286,tóxicas,plantada
287,tóxicas,produtividade
288,tóxicas,literatura
289,tóxicas,saturação
290,pta,dep
291,pta,produto
292,pta,estimado
293,pta,leiteira
294,pta,pc
295,pta,cruza
296,pta,rebanhos
297,pta,tricross
298,pta,dado
299,pta,mestiços
300,sal,mineral
301,sal,mistura
302,sal,quantidade
303,sal,na
304,sal,dieta
305,sal,seca
306,sal,recomenda
307,sal,necessidade
308,sal,consumo
309,sal,comum
310,piquete,melhor
311,piquete,ocupação
312,piquete,manejo
313,piquete,qual
314,piquete,descanso
315,piquete,prática
316,piquete,nutricionais
317,piquete,lotação
318,piquete,altura
319,piquete,fertilidade
320,residual,abrigo
321,residual,bula
322,residual,inclinação
323,residual,para
324,residual,eimeriose
325,residual,portanto
326,residual,sombreado
327,residual,secos
328,residual,iatf
329,residual,resíduo
330,reprodutor,possibilita
331,reprodutor,sexado
332,reprodutor,espera
333,reprodutor,moet
334,reprodutor,mocho
335,reprodutor,libido
336,reprodutor,pc
337,reprodutor,gêmeo
338,reprodutor,mãe
339,reprodutor,macho
340,vacina,secreçõe
341,vacina,agentes
342,vacina,agente
343,vacina,causada
344,vacina,transmitir
345,vacina,bovina
346,vacina,prevenção
347,vacina,ambiente
348,vacina,diarreia
349,vacina,homem
350,mocho,reprodutor
351,mocho,sexado
352,mocho,mortalidade
353,mocho,espera
354,mocho,libido
355,mocho,permite
356,mocho,moet
357,mocho,eficiência
358,mocho,animais
359,mocho,bons
360,altura,anuais
361,altura,superpastejo
362,altura,distribuição
363,altura,corte
364,altura,nutricionais
365,altura,suporte
366,altura,rotativo
367,altura,capineira
368,altura,sombra
369,altura,adubação
370,peso,idade
371,peso,peletizado
372,peso,leite
373,peso,vivo
374,peso,bezerro
375,peso,melhoradore
376,peso,novilha
377,peso,ração
378,peso,concentrada
379,peso,bezerros
380,bebedouro,arquitetura
381,bebedouro,alto
382,bebedouro,pesquisa
383,bebedouro,formadora
384,bebedouro,válida
385,bebedouro,prestam
386,bebedouro,xaraés
387,bebedouro,dada
388,bebedouro,importância
389,bebedouro,químicas
390,kg,ração
391,kg,ganho
392,kg,concentrada
393,kg,legislação
394,kg,diário
395,kg,médio
396,kg,vivo
397,kg,peletizado
398,kg,ndt
399,kg,concentrado
400,mastite,ordenha
401,mastite,garupa
402,mastite,clínica
403,mastite,terapia
404,mastite,tratamento
405,mastite,infecciosa
406,mastite,úbere
407,mastite,condição
408,mastite,subclínica
409,mastite,corporal
410,cálcio,sódio
411,cálcio,magnésio
412,cálcio,água
413,cálcio,minerais
414,cálcio,consumo
415,cálcio,na
416,cálcio,proibido
417,cálcio,vitamina
418,cálcio,volumoso
419,cálcio,quantidade
420,planta,anual
421,planta,alfafa
422,planta,cultura
423,planta,aveia
424,planta,azevém
425,planta,região
426,planta,adubação
427,planta,leguminosa
428,planta,forrageira
429,planta,irrigação
430,ia,artificial
431,ia,inseminação
432,ia,cobrir
433,ia,sêman
434,ia,exame
435,ia,estéril
436,ia,fazenda
437,ia,aleitamento
438,ia,reprodutiva
439,ia,monta
440,raça,cruzamento
441,raça,zebuínas
442,raça,holandês
443,raça,sindi
444,raça,gir
445,raça,guzerá
446,raça,genética
447,raça,produção
448,raça,animai
449,raça,genético
450,placenta,imediatamente
451,placenta,antibiótico
452,placenta,médico
453,placenta,alimentada
454,placenta,deixar
455,placenta,parir
456,placenta,aparecimento
457,placenta,ovário
458,placenta,detecção
459,placenta,desinfecção
460,inverno,suporte
461,inverno,regiõe
462,inverno,leguminosas
463,inverno,fenação
464,inverno,cerrado
465,inverno,leguminosa
466,inverno,cigarrinha
467,inverno,persistência
468,inverno,anuais
469,inverno,folha
470,inseminação,artificial
471,inseminação,ia
472,inseminação,cobrir
473,inseminação,aleitamento
474,inseminação,nascimento
475,inseminação,sêman
476,inseminação,exame
477,inseminação,gestante
478,inseminação,cria
479,inseminação,lactaçõe
480,artificial,ia
481,artificial,inseminação
482,artificial,cobrir
483,artificial,sêman
484,artificial,exame
485,artificial,fazenda
486,artificial,estéril
487,artificial,aleitamento
488,artificial,nascimento
489,artificial,reprodutiva
490,árvore,aaveia
491,árvore,produtividade
492,árvore,persistência
