index,resposta
1,"Os cuidados com o bezerro devem começar ainda na fase de gestação. A fase de maior crescimento do feto se dá nos últimos 3 meses de gestação. Assim, a vaca gestante e em lactação deve ser seca 60 dias antes da data prevista para o parto, para a recuperação da glândula mamária e a produção de colostro. A influência da alimentação pré-natal é crítica, tanto para o crescimento normal do feto quanto para a sobrevivência do bezerro durante as primeiras semanas de vida. No que se refere ao aspecto nutricional, as deficiências de energia, minerais e vitaminas são consideradas as mais importantes. O teor de proteína da dieta (volumoso mais concentrado) da vaca nesse período não deve ser inferior a 14% na base da matéria seca (MS). Mas deve-se evitar que a vaca esteja muito gorda pois há riscos de problemas no parto. Assim, de 20 a 30 dias antes do parto, as vacas devem ser conduzidas ao pasto ou ao piquete maternidade, que deve estar seco, limpo e localizado próximo às instalações principais, para permitir alimentação diferenciada, observações frequentes e assistência, caso ocorra algum problema por ocasião do parto. A recomendação geral é: Durante os primeiros 6 meses de gestação, vacas gordas podem perder peso, vacas em bom estado corporal devem manter o peso e vacas magras devem ganhar peso. Durante o último terço da gestação, todas as vacas devem ganhar em torno de 600g a 800g por dia, mesmo que seja necessário fornecer-lhes alimentação suplementar ao volumoso. Caso não se tenha uma balança para aferir o ganho de peso, pode-se fazer uma avaliação visual das condições corporais das vacas."
2,"Logo após o nascimento, inspeciona-se o bezerro e, se necessário, removem-se as membranas fetais e os mucos do nariz e da boca. A vaca costuma lamber o bezerro, ajudando a secar o pelo e estimulando a circulação e a respiração. Em dias chuvosos, recolhe-se o bezerro para local coberto e limpo, secando-o com um pano. Deve-se induzir o bezerro a mamar o colostro o mais rápido possível após o nascimento, ou, então, fornecer-lhe um mínimo de 2kg de colostro da primeira ordenha após o parto, durante as primeiras 6 horas de vida. A absorção das imunoglobulinas do colostro pelo intestino do bezerro é mais eficiente nas primeiras 24 horas, caindo acentuadamente a partir das 36 horas. Assim, quanto mais colostro o bezerro ingerir nesse período, melhor. Ainda nas primeiras horas após o parto, deve-se cortar o umbigo a mais ou menos dois dedos da inserção. Normalmente, não é necessário amarrar o cordão umbilical, exceto em casos de hemorragia mais intensa. Adesinfecção é feita mergulhando o cordão umbilical em um vidro de boca larga com tintura de iodo. Esse tratamento deve ser repetido por 3 ou 4 dias. A identificação do bezerro, com brincos e/ou tatuagem, deve ser feita no dia do nascimento. Outros cuidados como descorna, marcação e remoção de tetos extras, devem ser providenciados durante o primeiro mês de vida dos animais."
3,"As causas do nascimento de bezerros fracos e pequenos são várias, a principal é a subnutrição da vaca gestante. Vacas prenhes, 21 principalmente nos 3 últimos meses de gestação, devem receber alimentação suficiente para assegurar o desenvolvimento normal do feto. Vacas gestantes e magras devem iniciar um reforço na dieta 90dias antes do parto, na base de 2kg a 3kg de ração concentrada com 20% de proteína bruta (PB) e acima de 70% de nutrientes digestíveis totais (NDT), além de um bom volumoso à vontade, de modo a garantir uma dieta com pelo menos 14% de PB. Deve-se fornecer também mistura mineral de boa qualidade."
4,"O mais indicado é criar os bezerros em abrigos individuais nos primeiros 2meses após o parto, pois essa é a fase mais crítica de sua vida. Deve-se ainda separar o bezerro da vaca nas primeiras 12horas; fornecer colostro nos primeiros dias de vida; e fornecer 2L de leite pela manhã e 2L à tarde, por 15 a 20dias. Depois, pode-se fornecer apenas 4L de leite pela manhã, para forçar o bezerro a comer ração concentrada. A partir da segunda semana, fornecer ração concentrada peletizada, adocicada, própria para bezerros. Aos 60dias, trocar a ração peletizada por ração farelada. Quando os bezerros estiverem consumindo cerca de 800g de concentrado/dia, eles já poderão ser desmamados. Se se adotar bezerreiros, deve-se evitar a convivência de bezerros de idades diferentes, no mesmo lote. Com isso, previnese a transmissão de agentes de doenças e evita-se a competição entre os animais no momento da alimentação, o que prejudica os bezerros mais jovens. Obezerreiro deve ser mantido limpo e os utensílios (baldes ou mamadeiras), lavados diariamente, após o fornecimento. Ainstalação tem que proteger os bezerros contra os ventos fortes e a alta umidade. Ouso de cama pode trazer mais conforto aos animais, mas as partes sujas devem ser trocadas diariamente. 22"
5,"A escolha de um ou outro sistema depende do produtor. Se houver estrutura (instalações, utensílios, pessoal, etc.) para garantir boas condições de alimentação, manejo e higiene, o sistema de apartar o bezerro ao nascimento pode ser adotado com sucesso. Para isso, é fundamental que as vacas “desçam o leite” sem a presença da cria. Caso contrário, é preferível adotar o aleitamento natural controlado, que consiste em deixar um teto para o bezerro durante os primeiros 56dias."
6,"Esse manejo pode ser adotado, mas é importante verificar se o bezerro está mamando a quantidade de leite suficiente para seu desenvolvimento normal, principalmente nas 2 primeiras semanas de idade. Outro manejo possível é deixar para o bezerro, após a fase de colostro, um teto em rodízio e, a partir de 56dias, deixá-lo “rapar” o leite residual dos quatro tetos. Em vacas mestiças Holandês x Zebu, com produção média de 3millitros, em 305dias de lactação, há dados mostrando que os bezerros conseguem mamar, em média, 4kg de leite/dia no primeiro mês, e 2kg de leite/dia no segundo mês de vida, quando submetidos a esse manejo."
7,"No aleitamento natural, a ocorrência de distúrbios gastrointestinais diminui porque os bezerros obtêm o leite diretamente do teto (leite mais limpo). Reduz-se a mão de obra e os equipamentos necessários (baldes, biberões ou mamadeiras). 23 É importante ressaltar que algumas vacas mestiças e de raças zebuínas, principalmente, exigem a presença do bezerro para a “descida do leite”. Assim, nesses rebanhos, a ausência do bezerro no momento da ordenha pode resultar na “secagem” antecipada da vaca, no encurtamento da lactação, ou mesmo, em menor produção de leite. Há evidências de que vacas mestiças, com potencial de 3.500kg de leite/lactação, produzem 10% a mais de leite comercializável com o bezerro ao pé, que aquelas cujos bezerros foram apartados ao nascer. Atualmente, já existem sistemas de ordenha mecânica adaptados para a presença do bezerro. As vantagens do aleitamento artificial são o controle da quantidade de leite fornecida, bem como ordenhas mais higiênicas e mais rápidas."
8,"Muitos produtores não estão informados sobre os problemas que podem surgir com a mudança do aleitamento natural para o artificial. Em relação aos bezerros, por exemplo, é indispensável que o tratador seja treinado para lidar com bezerros, evitando o estresse do animal durante a mudança, além de realizar a higienização dos utensílios usados para alimentá-los (baldes, principalmente). Sem esses cuidados, começam a surgir doenças (diarreias e pneumonias), a taxa de mortalidade aumenta, bem como os gastos com medicamentos. Em relação às vacas, a produção de leite pode diminuir no caso de ordenha sem a presença do bezerro."
9,"A pessoa responsável pelos bezerros é de fundamental importância para os resultados. Existem alguns levantamentos mostrando 24 que a mortalidade é bem menor onde os proprietários manejam os bezerros, principalmente se forem mulheres. Isso significa que atenção, paciência e carinho são fundamentais. Entretanto, o treinamento e o conhecimento da atividade são essenciais, especialmente nos itens de higiene, alimentação animal e saúde."
10,"As diarreias infecciosas e os problemas respiratórios são as doenças que mais causam mortes em animais jovens, no período de até 3meses de idade. Na maioria dos casos, as mortes decorrem das condições de criação, como instalações e manejo inadequados, e alimentação deficiente. Os 3 primeiros meses de vida são os mais críticos para o bezerro porque seu sistema imunológico – defesas contra os agentes causadores de doenças – ainda não está completamente desenvolvido. Por isso, é muito importante o bezerro mamar o colostro logo ao nascer. E para evitar a ocorrência das diarreias, o importante é a higiene do ambiente e dos utensílios usados, lavando-os e desinfetando-os diariamente, além de se manter o local limpo, seco e abrigado de ventos frios."
