,term
0,sapé
1,plantar
2,fim
3,cedo
4,limpo
5,osso
6,apó
7,realizá-la
8,sexado
9,colônia
10,úmida
11,ante
12,controlar
13,apena
14,calculam
15,geada
16,iten
17,telha
18,chegam
19,direto
20,mudança
21,recomendam
22,silagen
23,trocávei
24,reposição
25,provocado
26,casinhas/gaiola
27,saúde
28,mudar
29,proceder
30,formadora
31,canade-açúcar
32,pioneiro
33,independentemente
34,receptore
35,formar
36,ciliare
37,tolerante
38,devem-se
39,trata
40,capaz
41,grande
42,formulaçõe
43,sentem
44,café
45,feno
46,palha
47,usar
48,avaliação
49,come
50,deficiência
51,devem
52,cultivada
53,dimensionar
54,certa
55,associam
56,adaptada
57,capim-colonião
58,estar
59,dua
60,interfere
61,adicionado
62,mosca-do-chifre
63,califórnia
64,exerce
65,atrasam
66,individuai
67,agrossilvipastori
68,combinada
69,fraco
70,barriga
71,diminuição
72,cenchru
73,baixo
74,completamente
75,preocupação
76,prejudica
77,descartar
78,silencioso
79,vista
80,quanta
81,numerosa
82,partir
83,independente
84,eletroejaculação
85,possívei
86,misto
87,ebv
88,dizer
89,pré-parto
90,pobre
91,razõe
92,usada
93,ainda
94,vez
95,calagen
96,todo
97,possível
98,nativa
99,prepúcio
100,caroço
101,mista
102,aberto
103,meio
104,correto
105,araxá
106,somente
107,expulsa
108,indicado
109,camada
110,obtida
111,brucelose
112,consorciaçõe
113,faltando
114,forragen
115,preciso
116,critério
117,produzido
118,podem-se
119,unidade
120,completado
121,maculosa
122,recuperálo
123,prejudicam
124,terra
125,preveni-la
126,touro/vaca
127,afirmação
128,fechado
129,procedimento
130,tpi
131,diária
132,transmitido
133,dessa
134,vizinho
135,localização
136,gerenciar
137,suplementação
138,provocada
139,repetibilidade
140,específica
141,sempre
142,sanitário
143,colocar
144,conter
145,tobiatã
146,permanece
147,circunstância
148,tratada
149,capim-elefante
150,empregar
151,mineralizar
152,cigarrinhas-das-pastagen
153,algodão
154,ingredientes/substância
155,campo
156,centro-oeste
157,salobra
158,sojagrão
159,ficha
160,conveniente
161,boi
162,desgaste
163,metrite
164,aleitado
165,trê
166,varia
167,eficaz
168,recebendo
169,sucessiva
170,situaçõe
171,alcançar
172,diverso
173,separação
174,fecundada
175,idêntico
176,pronta
177,aumente
178,colocam
179,marca
180,básica
181,pura
182,constata
183,utilizá-lo
184,semissólido
185,parirem
186,nascer
187,aveia-preta
188,difícei
189,reforma
190,leite/dia
191,feto
192,cada
193,material
194,arroz
195,apartado
196,fazer
197,quanto
198,adotada
199,salmonelose
200,faz
201,manter
202,cobrando
203,procuram
204,estabilização
205,iniciar
206,sadio
207,orientar
208,diluir
209,ensilado
210,soja
211,farinha
212,setária
213,desejável
214,ocasionar
215,ectoparasita
216,obeso
217,gerenciamento
218,junto
219,introduzir
220,congelamento
221,inverso
222,morfológica
223,intestinai
224,estrutura
225,tóxica
226,começam
227,explica
228,prevenila
229,recomendável
230,funçõe
231,mineralizado
232,ruziziensi
233,obriga­tório
234,experimentar
235,longo
236,prolongado
237,prepará-lo
238,pós-parto
239,sólida
240,prejuízo
241,incluir
242,até
243,ensilar
244,papeira
245,enchimento
246,produtore
247,espermática
248,vedar
249,tonelada
250,regulamentada
251,função
252,escolha
253,fracassam
254,cisticercose
255,ficam
256,paíse
257,intramamário
258,influenciam
259,acometido
260,quem
261,holandê
262,meno
263,uterina
264,outra
265,fácil
266,climática
267,orgânica
268,pai
269,gastar
270,adapta-se
271,suscetívei
272,palatabilidade
273,capim-braquiária
274,calcular
275,berne
276,bezerra
277,pessoa
278,complexo
279,divisão
280,sulfato
281,saber
282,teteira
283,colibacilose
284,observada
285,comer
286,têm
287,interferir
288,arborizar
289,cameroon
290,atrasar
291,pequeno
292,desde
293,influencia
294,deve-se
295,queimou
296,pesado
297,dentro
298,micro
299,espaçamento
300,apartar
301,definir
302,tratá-la
303,cara
304,tampões/
305,rural
306,capimelefante
307,desaparecendo
308,primeiro
309,sudeste
310,passam
311,coisa
312,começar
313,preferência
314,ajudam
315,trabalho
316,cobrição
317,magnesiano
318,anteriormente
319,algun
320,elimina
321,bem-estar
322,atendem
323,escolher
324,silvipastori
325,separada
326,enxofre
327,cortada
328,grão
329,misturado
330,rabo-de-burro
331,minosa
332,estraga
333,fator
334,quer
335,consumidor
336,dão
337,nova
338,servem
339,causam
340,diferente
341,cobriçõe
342,criação
343,totalmente
344,cana-de-açúcar
345,ensilálo
346,adquirir
347,relação
348,valor
349,cama
350,falta
351,causadora
352,serragem
353,tomar
354,situação
355,proliferação
356,casinha
357,nível
358,irrigar
359,passa
360,máxima
361,conservação
362,solução
363,medido
364,herbácea
365,ajuda
366,pega
367,suprimento
368,plantado
369,reconhece
370,dimensionálo
371,positivo
372,geram
373,enxertar
374,distócico
375,centenário
376,alvenaria
377,extraída
378,excremento
379,que
380,tão
381,suplementar
382,tanner-gra
383,vário
384,germinação
385,administrada
386,altera
387,ter
388,cuja
389,acidentalmente
390,testículo
391,parasitar
392,perde
393,apropriado
394,urinar
395,formada
396,morro
397,fogo
398,momento
399,ponto
400,cinco
401,ataque
402,máximo
403,pouca
404,chorume
405,rocha
406,ficar
407,número
408,acontecendo
409,variedade
410,manqueira
411,transgênico
412,cisto
413,existente
414,desprender
415,risco
416,algum
417,maior
418,suscetível
419,local
420,tuberculose
421,preparando
422,no
423,raiva
424,manejar
425,exato
426,novamente
427,tijolo
428,dia
429,meloso
430,bainha
431,enxertava
432,substituto
433,adubar
434,problemático
435,reproduzir
436,prenhe
437,verde
438,sujo
439,arraçoamento
440,inconveniente
441,coccidiose
442,vitamínico
443,receita
444,tostar
445,opção
446,buffer
447,dar
448,efeito
449,tempo
450,microelemento
451,quatro
452,sobreviver
453,minimizar
454,macronutriente
455,genômica
456,mese
457,natureza
458,recém-nascido
459,cana-de-açúcar/
460,encharcada
461,ser
462,operação
463,embrião
464,bem
465,sei
466,percentagem
467,econômico-financeiro
468,queimar
469,milho/soja
470,entrar
471,tamponante
472,custo/benefício
473,avalia
474,recebem
475,entre
476,econômico
477,parente
478,macroelemento
479,verdade
480,reduz
481,registro
482,milagroso
483,litro
484,fornecê-lo
485,medir
486,oral
487,depoi
488,devolve
489,consegue
490,feijão-guandu
491,prejudicar
492,alguma
493,contamina
494,eliminado
495,chuva
496,determinar
497,engorda
498,ela
499,amônia
500,segredo
501,cevada
502,sobre
503,rufiõe
504,praga
505,clima
506,sobrando
507,recomenda-se
508,descartada
509,rápido
510,descornar
511,prova
512,precisam
513,alongado
514,arbórea
515,exclusivamente
516,acostumam
517,relacionada
518,acasalar
519,entrada
520,técnico
521,rapa
522,aproveitar
523,aconselhável
524,determinam
525,tomado
526,convém
527,dolomítico
528,fisiológico
529,pode
530,mifugar
531,utilizam
532,economicamente
533,pode-se
534,ssp
535,deficiente
536,voltam
537,bom
538,determinado
539,resulta
540,iatf
541,vantajoso
542,jersey
543,exigência
544,emagrecimento
545,adoeçam
546,prejudicando
547,frio
548,dividir
549,reai
550,pneumoenterite
551,açõe
552,europeu-zebu
553,entende
554,milho/mucuna-preta
555,estabelecer
556,mostrando
557,boa
558,regime
559,bicálcico
560,ano
561,repetindo
562,combater
563,sexagem
564,aplicabilidade
565,implantar
566,sua
567,n-p-k
568,verão
569,outrora
570,fazê-lo
571,comprar
572,cupin
573,moderada
574,adubado
575,prático
576,capim-angola
577,influenciar
578,colocá-la
579,estéril
580,ordenhar
581,hectare
582,receber
583,vagina/cérvix
584,capim-gordura
585,subcutânea
586,especial
587,especialmente
588,pronto
589,desse
590,correta
591,replantio
592,positiva
593,acontecer
594,inferior
595,serve
596,homem
597,variávei
598,novo
599,origem
600,casca
601,dosagen
602,determina
603,produz
604,capim-buffel
605,acurácia
606,cuidado
607,manejada
608,enxertá-la
609,variação
610,foliculare
