,term1,term2,value
1,sede, animal,254
2,sede, vaca,245
3,máximo, grande,210
5,sede, bom,166
6,sede, grande,135
7,sede, pastagem,133
8,lactação, vaca,118
12,sede, solo,102
13,sede, bezerro,95
14,sede, pequeno,89
16,sede, lactação,77
17,sede, sistema,77
18,sede, forrageira,76
19,sede, animais,75
21,parto, vaca,68
22,sede, espécie,66
23,sede, raça,64
25,concentração, concentrar,63
27,sede, mineral,60
28,sede, genético,57
29,sede, água,56
31,sede, parto,55
32,sede, rebanho,55
33,sede, doença,54
34,máximo, animal,52
36,sede, principal,51
38,animal, grande,48
41,sede, planta,47
43,sede, ordenha,46
44,sede, seco,46
45,sede, alto,45
48,sede, pastejo,44
49,animal, bom,43
51,sede, plantio,43
52,sede, proteína,43
56,sede, tratamento,40
57,animal, vaca,39
60,sede, leiteiro,39
61,animal, raça,38
64,sede, forragem,38
67,sede, baixo,37
68,sede, orgânico,37
69,sede, pasto,37
70,corporal, vaca,36
71,holandês, raça,36
72,sede, bovino,36
73,sede, meio,36
74,cobre, cobrir,36
78,sede, alimento,34
79,forrageira, pastagem,33
83,animal, genético,32
84,animal, pastagem,32
88,zebuínas, raça,32
89,cruzamento, raça,32
92,zebuína, raça,32
93,sede, gramínea,32
94,sede, temperatura,32
95,máximo, bom,32
98,obra, mão,31
100,mão, obra,31
102,peletizado, pelar,31
104,peladeira, pelar,31
105,sede, dieta,31
106,sede, natural,31
109,ordenha, vaca,30
112,espécie, forrageira,30
113,genético, animal,30
115,sede, medida,30
116,mamária, mamário,29
117,raça, animal,29
118,raça, vaca,29
120,sede, brachiaria,29
121,sede, rebanhar,29
122,forrageira, espécie,28
123,dieta, vaca,28
124,raça, holandês,28
125,leiteiro, vaca,28
126,sede, corporal,28
127,sede, fator,28
128,sede, material,28
131,espécie, pastagem,27
133,sede, cultura,27
134,sede, instalação,27
135,sede, parte,27
136,gir, raça,27
138,forrageira, solo,26
140,decumbens, brachiaria,26
142,sede, bactéria,26
143,sede, cruzamento,26
144,sede, semente,26
145,decumbem, brachiaria,25
149,sede, agente,25
150,sede, base,25
151,sede, cobrir,25
152,sede, concentrado,25
153,sede, nutriente,25
154,sede, teto,25
157,espécie, animal,24
159,raça, cruzamento,24
162,zebuínas, zebuína,24
164,sede, elevar,24
165,sede, identificar,24
166,sede, modo,24
167,sede, técnico,24
168,máximo, vaca,24
169,brizantha, brachiaria,23
171,volumoso, concentrar,23
173,magra, vaca,23
174,sede, fase,23
175,sede, fósforo,23
176,sede, resíduo,23
177,sede, silagem,23
178,sede, teor,23
179,sede, volumoso,23
181,pastejo, pastagem,22
182,raça, zebuína,22
183,brizanthar, brachiaria,22
185,cruzamento, animal,22
186,capineira, capineiro,22
187,sede, concentrar,22
188,sede, garantir,22
189,sede, piquete,22
190,concentração, volumoso,21
191,animal, doença,21
192,animal, sistema,21
193,planta, forrageira,21
194,concentrar, volumoso,21
197,parto, lactação,21
200,tratamento, animal,21
201,sede, holandês,21
202,sede, método,21
203,sede, novilho,21
204,sede, perda,21
205,sede, presença,21
206,sede, puro,21
207,animal, espécie,20
208,animal, rebanho,20
209,alimento, vaca,20
213,rotativo, pastejo,20
214,proteína, vaca,20
215,sede, chuva,20
216,sede, cuidado,20
217,sede, silo,20
218,sede, taxa,20
219,sede, tropical,20
220,máximo, pequeno,20
224,guzerá, raça,19
225,animal, pequeno,19
226,sistema, animal,19
229,lactação, parto,19
230,espécie, solo,19
231,raça, gir,19
232,forragem, grande,19
234,leiteiro, animal,19
238,parto, bom,19
244,sede, artificial,19
245,sede, embrião,19
246,sede, gordura,19
247,sede, médio,19
248,sede, pelar,19
249,puro, raça,19
253,leguminoso, gramínea,18
254,mineral, vaca,18
256,corporal, bom,18
257,pastejo, rotativo,18
258,cobrir, vaca,18
259,agente, doença,18
260,forrageira, bom,18
261,forrageira, planta,18
262,animal, cruzamento,18
263,animal, puro,18
264,planta, pastagem,18
265,planta, plantar,18
267,glândula, mamário,18
269,forragem, animal,18
270,forragem, bom,18
272,leiteiro, raça,18
278,sede, cobertura,18
279,sede, fêmea,18
280,sede, leguminoso,18
281,sede, mestiço,18
282,sede, sintoma,18
283,cobre, vaca,18
285,ordenha, bezerro,17
286,concentração, vaca,17
287,silagem, silo,17
288,forrageira, plantio,17
289,animal, lactação,17
290,animal, pastejo,17
291,animal, pasto,17
294,espécie, bom,17
295,gramínea, tropical,17
297,forragem, pastagem,17
298,tropical, gramínea,17
299,magro, vaca,17
304,sede, antibiótico,17
305,sede, capim,17
306,sede, esterco,17
307,sede, maneira,17
308,sede, nitrogênio,17
309,sede, objetivo,17
310,sede, reprodutivo,17
311,máximo, forragem,17
312,máximo, pastagem,17
313,puro, animal,17
314,mamário, bezerro,16
315,mamária, bezerro,16
316,ordenha, teto,16
318,célula, somático,16
319,guzerá, gir,16
320,pastejo, animal,16
322,animal, leiteiro,16
323,planta, solo,16
325,inseminador, vaca,16
326,alimento, animal,16
327,mamar, bezerro,16
328,rebanhar, animal,16
329,gramínea, leguminoso,16
330,gramínea, solo,16
331,gordura, proteína,16
334,genético, raça,16
339,proteína, gordura,16
340,sede, adulto,16
341,sede, concentração,16
342,sede, gene,16
343,sede, gestação,16
344,sede, infecção,16
345,sede, mão,16
346,sede, suficiente,16
347,gestação, vaca,16
348,microbiana, microbiano,16
349,somático, célula,16
351,mineral, dieta,15
352,pastejo, forrageira,15
353,teor, proteína,15
357,ordenhador, vaca,15
358,forrageira, animal,15
359,forrageira, pastejo,15
360,animal, forrageira,15
361,animal, água,15
363,braquiária, pastagem,15
364,instalação, animal,15
365,gramínea, pastagem,15
367,holandês, vaca,15
371,parte, vaca,15
376,proteína, teor,15
377,entressafra, entrar,15
379,sede, acasalamento,15
380,sede, alta,15
381,sede, eficiente,15
382,sede, mamário,15
383,sede, obra,15
384,sede, recomendação,15
385,sede, zebuína,15
386,silo, silagem,15
387,mamário, mamar,14
388,mamário, vaca,14
389,mamária, mamar,14
390,mamária, vaca,14
393,ruziziensil, brachiaria,14
394,corporal, animal,14
395,corporal, lactação,14
397,concentração, mineral,14
398,concentração, água,14
399,animal, animais,14
400,animal, corporal,14
401,animal, forragem,14
402,animal, temperatura,14
403,planta, espécie,14
405,sistema, bom,14
406,lote, vaca,14
407,gordo, vaca,14
408,dieta, mineral,14
409,dieta, proteína,14
410,glândula, glândular,14
411,fase, lactação,14
412,lactação, corporal,14
413,mestiço, vaca,14
414,contaminação, contaminar,14
415,invasor, planta,14
419,raça, guzerá,14
420,genético, rebanho,14
433,proteína, dieta,14
436,semente, solo,14
437,sede, braquiária,14
438,sede, cocho,14
439,sede, exame,14
440,sede, fosfato,14
441,sede, irrigação,14
442,sede, líquido,14
443,sede, medicamento,14
444,sede, médico,14
445,sede, população,14
446,sede, químico,14
447,sede, ração,14
448,sede, seca,14
453,corporal, parto,13
454,animal, mineral,13
455,planta, invasor,13
456,base, seco,13
457,dieta, lactação,13
459,água, animal,13
460,água, vaca,13
461,mestiço, raça,13
462,rebanhar, vaca,13
463,raça, leiteiro,13
464,raça, puro,13
465,decumbens, decumbem,13
468,cobertura, solo,13
469,genético, bom,13
470,leiteiro, gir,13
472,parto, corporal,13
473,magra, magro,13
477,sede, associação,13
478,sede, clínico,13
479,sede, estresse,13
480,sede, filho,13
481,sede, heterose,13
482,sede, invasor,13
483,sede, organismo,13
484,sede, térmico,13
485,brachiaria, decumbem,13
486,consumidor, consumir,13
489,mamária, glândular,12
490,piquete, pastagem,12
491,variação, animal,12
494,análise, solo,12
495,fator, animal,12
496,meio, solo,12
497,concentração, bezerro,12
498,germinação, semente,12
502,taxa, vaca,12
503,animal, fator,12
504,animal, medida,12
505,animal, rebanhar,12
507,base, dieta,12
509,partícula, vaca,12
510,recomendação, vaca,12
512,lactação, animal,12
513,lactação, fase,12
514,lactação, seco,12
515,alimento, volumoso,12
516,concentrar, bezerro,12
517,concentrar, vaca,12
518,quarto, mamário,12
522,raça, genético,12
523,raça, mestiço,12
524,líquido, esterco,12
532,parto, bezerro,12
533,cruzamento, vaca,12
538,proteína, mineral,12
541,sede, análise,12
542,sede, célula,12
543,sede, fácil,12
544,sede, físico,12
545,sede, macho,12
546,sede, plantar,12
547,sede, procedimento,12
548,sede, recurso,12
549,sede, tóxico,12
550,sede, vacar,12
551,adulto, animal,12
552,máximo, genético,12
553,máximo, raça,12
556,gir, guzerá,12
557,gir, leiteiro,12
558,mamário, glândular,11
559,mamário, ordenha,11
560,mamário, quarto,11
561,mamária, ordenha,11
562,mamária, quarto,11
564,brizantha, brizanthar,11
566,piquete, vaca,11
567,afetar, animal,11
568,mineral, animal,11
569,ordenha, animal,11
571,medida, vaca,11
573,bovino, animal,11
574,concentração, dieta,11
575,trator, animal,11
578,compactação, silo,11
579,forrageira, gramínea,11
580,animal, adulto,11
581,animal, alto,11
582,animal, bezerro,11
583,animal, bovino,11
584,animal, instalação,11
585,animal, ordenha,11
586,planta, animal,11
587,planta, tóxico,11
591,sistema, vaca,11
592,cultura, sistema,11
593,reprodutivo, vaca,11
594,fase, vaca,11
595,infestações, infestação,11
596,recomendação, pastagem,11
599,tóxico, planta,11
600,alimento, bom,11
601,concentrar, mineral,11
602,espécie, forragem,11
603,espécie, planta,11
604,gramínea, forrageira,11
606,gordura, vaca,11
607,limpo, seco,11
611,raça, grande,11
612,forragem, espécie,11
613,resíduo, orgânico,11
615,cobertura, bom,11
616,alto, animal,11
617,alto, vaca,11
620,ar, temperatura,11
625,parto, animal,11
626,zebuínas, vaca,11
635,proteína, bom,11
636,proteína, lactação,11
637,desmama, bezerro,11
638,desmame, bezerro,11
641,semente, pastagem,11
642,zebuína, vaca,11
643,inverno, forrageira,11
644,sede, descartar,11
645,sede, efeito,11
646,sede, gir,11
647,sede, hormônio,11
648,sede, humano,11
649,sede, limpo,11
650,sede, nutricional,11
651,sede, rotativo,11
652,sede, subclínica,11
653,nitrogênio, solo,11
654,máximo, pasto,11
655,máximo, solo,11
656,brachiaria, brizanthar,11
662,leguminoso, pastagem,10
664,mineral, bom,10
665,mineral, proteína,10
666,mineral, vitamina,10
670,medida, animal,10
671,alumínio, solo,10
672,elevar, animal,10
673,elevar, temperatura,10
674,principal, animal,10
675,principal, bezerro,10
685,perder, vaca,10
686,descartar, vaca,10
687,silagem, bom,10
688,glândular, mamário,10
689,adubo, adubar,10
690,forrageira, inverno,10
691,forrageira, pequeno,10
692,animal, afetar,10
693,animal, elevar,10
694,animal, principal,10
695,animal, reprodutivo,10
696,animal, seco,10
697,animal, solo,10
698,animal, tratamento,10
701,sistema, bezerro,10
702,dieta, seco,10
703,associação, animal,10
704,reprodutivo, animal,10
705,reprodutivo, bom,10
707,água, mineral,10
708,lactação, dieta,10
709,lactação, proteína,10
710,concentrar, dieta,10
711,gramínea, bom,10
714,holandês, animal,10
719,raça, bezerro,10
720,forragem, alto,10
721,desmamar, bezerro,10
723,volumoso, alimento,10
724,volumoso, vaca,10
728,parte, animal,10
729,acasalamento, vaca,10
731,cruzamento, holandês,10
732,cruzamento, puro,10
733,metabólico, vaca,10
741,nutriente, solo,10
742,aproveitamento, bom,10
743,tratamento, resíduo,10
744,tratamento, vaca,10
753,semente, plantio,10
754,sede, consumir,10
755,sede, energético,10
756,sede, febre,10
757,sede, magnésio,10
758,sede, microbiano,10
759,sede, monta,10
760,sede, oferecer,10
761,sede, reprodutor,10
762,sede, resistente,10
763,sede, risco,10
764,sede, tomar,10
765,nitrogênio, pastagem,10
766,máximo, forrageira,10
767,máximo, lactação,10
768,vitamina, mineral,10
769,filho, bom,10
771,garantir, bom,10
778,térmico, estresse,9
779,piquete, pastejo,9
780,crioscopia, animal,9
781,crioscopia, bezerro,9
783,mineral, bovino,9
784,mineral, concentrar,9
785,ordenha, desinfecção,9
789,irrigação, sistema,9
790,guzerá, leiteiro,9
791,pastejo, bom,9
792,pastejo, piquete,9
793,pastejo, solo,9
796,bovino, mineral,9
798,heterose, animal,9
799,heterose, raça,9
800,concentração, ração,9
801,vitro, embrião,9
808,agente, bovino,9
810,ordenhador, teto,9
811,forrageira, brachiaria,9
812,forrageira, cultura,9
813,forrageira, tropical,9
814,animal, alimento,9
815,animal, alta,9
816,animal, estresse,9
817,animal, exigência,9
818,animal, planta,9
819,criopreservação, animal,9
820,criopreservação, bezerro,9
825,sistema, grande,9
826,sistema, ordenha,9
827,sistema, orgânico,9
828,demorar, vaca,9
829,dieta, concentrar,9
830,braquiária, bom,9
831,braquiária, solo,9
832,comercial, animal,9
833,reprodutivo, rebanho,9
834,excesso, vaca,9
835,recomendação, espécie,9
838,exigência, animal,9
840,lactação, bom,9
841,lactação, grande,9
842,alimento, concentrar,9
843,alimento, lactação,9
844,invasor, solo,9
845,espécie, gramínea,9
846,instalação, sistema,9
847,gramínea, espécie,9
848,embrião, vitro,9
850,gordura, teor,9
851,parasitária, bovino,9
852,parasitária, parasitário,9
854,raça, bom,9
855,magnésio, fósforo,9
861,genético, grande,9
862,alto, pastagem,9
863,leiteiro, bom,9
864,leiteiro, rebanho,9
865,maneira, animal,9
870,volumoso, dieta,9
871,tropical, forrageira,9
879,parto, fase,9
880,parto, novilho,9
881,zebu, holandês,9
882,parte, grande,9
883,acasalamento, animal,9
885,zebuínas, holandês,9
888,nutricional, vaca,9
895,nutriente, vaca,9
896,tratamento, antibiótico,9
897,tratamento, sistema,9
903,proteína, animal,9
906,crioscópico, animal,9
907,crioscópico, bezerro,9
908,zebuína, holandês,9
911,sede, aproveitamento,9
912,sede, ar,9
913,sede, calcário,9
914,sede, diarreia,9
915,sede, enxofre,9
916,sede, fértil,9
917,sede, inverno,9
918,sede, lembrar,9
919,sede, mamar,9
920,sede, mosca,9
921,sede, máximo,9
922,sede, mãe,9
923,sede, picar,9
924,sede, praga,9
925,sede, quarto,9
926,sede, semeadura,9
927,sede, vitamina,9
928,identificar, vaca,9
929,máximo, pastejo,9
930,máximo, rebanho,9
931,presença, bezerro,9
932,presença, vaca,9
938,gir, holandês,9
939,mamário, lactação,8
940,obesa, vaca,8
941,mamária, lactação,8
946,biológico, orgânico,8
947,mocha, mocho,8
948,mineral, fósforo,8
949,ordenha, manual,8
950,ordenha, sistema,8
951,potássio, fósforo,8
954,ácido, ácer,8
955,orgânico, sistema,8
957,principal, bom,8
